#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Marcus Semien,TEX,153,641.8645066,718,168.1325479,101.5139912,34.89543446,3.172312224,28.55081001,104.6863034,89.88217968,65.56111929,0.0,116.3181149,4.229749632,5.28718704,1.057437408,15.86156112,4.229749632,11.63181149,0.263,0.331858407,0.459637562,0.791495969,0.277894737,16.20029455,9.13107511,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,8,3,5,0.237,0.308,0.391,0.699,0.25,14.6,8.9,0.7272727273248311,0.24999999991044672,0.02272727272173671,0.0397643593454039,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.032033426183844,139.58173789,131
2,Freddie Freeman,LAD,153,554.0029586,638,168.9378698,105.704142,36.80769231,1.887573964,24.53846154,102.8727811,90.6035503,70.78402367,7.550295858,102.8727811,8.49408284,4.718934911,0.943786982,14.15680473,3.775147929,10.3816568,0.305,0.389053254,0.511073254,0.900126508,0.334792123,16.12426036,11.09467456,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,9,2,7,0.282,0.378,0.476,0.854,0.306,15.7,12.2,0.7320261438306813,0.254901960842703,0.01307189542356924,0.0384615384639498,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.0344827586206896,144.39940825999997,131
3,Austin Riley,ATL,154,417.0449102,469,115.8458084,65.29491018,22.46706587,1.404191617,26.67964072,70.20958084,71.61377246,40.01946108,2.106287425,112.3353293,7.020958084,4.21257485,0.0,1.404191617,0.702095808,0.702095808,0.278,0.347826087,0.53030303,0.878129117,0.315920398,23.95209581,8.532934132,425,469,109,62,26,2,19,63,56,37,0,118,5,2,0,0,0,0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,0.7322834644450652,0.2519685039131649,0.015748031495974684,0.0568862275479744,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.0405117270788912,89.16616768,90
4,Trea Turner,PHI,152,495.2315789,539,138.6,89.15789474,27.55789474,3.242105263,18.64210526,78.62105263,66.46315789,36.47368421,0.810526316,107.8,4.052631579,3.242105263,0.810526316,23.50526316,4.052631579,19.45263158,0.279,0.332330827,0.461538462,0.793869289,0.322440087,20.0,6.766917293,505,539,149,103,25,0,21,88,62,27,0,98,6,1,0,19,4,15,0.295,0.338,0.469,0.807,0.331,18.2,5.0,0.7432432432500024,0.2297297297500071,0.02702702702499929,0.0345864661595547,0.8046875,0.1953125,0.0,0.0389610389610389,119.95789474,128
5,Juan Soto,NYY,153,568.2556391,713,158.6827068,88.99097744,28.94887218,2.144360902,39.67067669,112.5789474,107.2180451,136.1669173,8.577443609,117.9398496,4.288721805,4.288721805,1.072180451,11.79398496,4.288721805,7.505263158,0.279,0.419548872,0.549056604,0.968605476,0.286821705,16.54135338,19.09774436,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,7,4,3,0.288,0.419,0.569,0.989,0.298,16.7,18.1,0.7477477474987002,0.2432432431683019,0.01801801801059958,0.0556390977419354,0.72,0.248,0.032,0.0575035063113604,119.01203011000001,125
6,Julio Rodriguez,SEA,151,553.7371601,613,154.6389728,92.59818731,30.55740181,2.777945619,28.70543807,91.67220544,84.26435045,47.22507553,4.629909366,144.4531722,8.333836858,2.777945619,0.925981873,29.63141994,8.333836858,21.29758308,0.279,0.343419062,0.5,0.843419062,0.328502415,23.56495468,7.703927492,567,613,155,118,17,0,20,76,68,38,1,156,6,2,0,24,5,19,0.273,0.325,0.409,0.734,0.344,25.4,6.2,0.7352941177147883,0.24264705882761653,0.02205882352906144,0.0468277945676998,0.8740740740740741,0.1259259259259259,0.0,0.032626427406199,125.93353473,135
7,Mookie Betts,LAD,149,441.9516616,516,125.4924471,70.1510574,27.28096677,1.558912387,25.72205438,86.51963746,73.26888218,63.13595166,1.558912387,81.06344411,6.235649547,3.897280967,0.779456193,10.13293051,3.117824773,7.01510574,0.283,0.378214826,0.525573192,0.903788018,0.294252874,15.70996979,12.23564955,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,16,2,14,0.289,0.372,0.491,0.863,0.294,11.0,11.8,0.7031250001879314,0.2734375001064945,0.015625000007517258,0.0498489425968992,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.0368217054263565,99.77039272,111
8,Matt Olson,ATL,152,583.4417549,685,154.4099849,82.90468986,29.01664145,1.036308623,41.45234493,104.667171,115.0302572,90.15885023,6.21785174,153.3736762,6.21785174,5.181543116,0.0,1.036308623,1.036308623,0.0,0.265,0.366111952,0.531083481,0.897195433,0.286842105,22.3903177,13.16187595,600,685,148,81,37,1,29,78,98,71,5,170,9,5,0,0,0,0,0.247,0.333,0.457,0.79,0.293,24.8,10.4,0.7339449538961539,0.256880733854801,0.009174311921488704,0.0605143721605839,0.680672268907563,0.31092436974789917,0.008403361344537815,0.0423357664233576,112.95763997,119
9,Ronald Acuna Jr.,ATL,147,191.0075873,222,59.28983308,35.70864947,11.1168437,0.673748103,11.79059181,40.08801214,30.99241275,25.93930197,1.347496206,35.03490137,3.368740516,1.347496206,0.336874052,17.18057663,4.379362671,12.80121396,0.311,0.399696049,0.560846561,0.960542609,0.326388889,15.7814871,11.68437026,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,16,3,13,0.25,0.351,0.365,0.716,0.326,23.9,12.2,0.7517730497424427,0.2340425531601339,0.014184397160582266,0.0531107739189189,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018,47.49924127,44
10,Vladimir Guerrero Jr.,TOR,152,614.5022762,697,173.4567527,106.8239757,33.84522003,1.057663126,32.7875569,94.13201821,101.5356601,69.80576631,5.28831563,104.7086495,7.403641882,4.230652504,1.057663126,6.345978756,2.115326252,4.230652504,0.282,0.360182371,0.502581756,0.862764126,0.292307692,15.02276176,10.01517451,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,2,2,0,0.323,0.396,0.544,0.94,0.342,13.8,10.3,0.759398495829035,0.24060150367334365,0.007518796990236294,0.0470409711621233,0.7337278106508875,0.2603550295857988,0.005917159763313609,0.0430416068866571,140.6691958,169
