#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,146,517,639,146,75,24,1,46,105,114,112,10,163,6,4,0,8,2,0.283
2,Bobby Witt Jr.,KCR,153,606,667,178,105,35,8,30,104,96,49,5,109,6,6,1,33,10,0.294
3,Gunnar Henderson,BAL,152,583,664,158,91,30,6,31,103,89,70,2,150,6,4,1,17,4,0.271
4,Juan Soto,NYM,153,537,674,148,84,27,2,34,107,96,129,7,113,4,4,1,8,3,0.275
5,Shohei Ohtani,LAD,145,553,643,158,83,29,5,41,113,105,80,10,147,5,4,1,34,8,0.286
6,Mookie Betts,LAD,148,564,652,157,94,33,3,27,101,90,77,2,88,6,5,1,15,3,0.278
7,José Ramírez,CLE,153,589,661,161,93,36,3,29,94,97,63,10,78,3,6,0,30,8,0.274
8,Yordan Alvarez,HOU,136,503,591,150,82,30,2,36,89,97,73,10,98,9,5,0,3,1,0.298
9,Julio Rodríguez,SEA,147,584,641,160,103,28,2,27,89,84,45,3,153,8,3,0,28,7,0.274
10,Francisco Lindor,NYM,153,596,671,153,92,30,2,28,98,87,59,1,127,10,5,1,24,6,0.257
11,Corey Seager,TEX,127,486,549,137,79,27,1,30,77,83,55,8,94,5,4,0,2,1,0.282
12,Kyle Tucker,CHC,148,549,640,152,90,30,2,30,94,94,83,6,99,2,5,0,21,5,0.277
13,Ketel Marte,ARI,141,537,614,148,87,30,3,28,89,88,66,4,110,5,5,1,7,2,0.276
14,Fernando Tatis Jr.,SDP,146,569,632,154,90,31,2,32,96,88,53,1,139,7,3,1,21,5,0.272
15,Vladimir Guerrero Jr.,TOR,154,587,667,173,108,34,1,31,93,99,69,8,94,7,4,0,4,2,0.295
16,William Contreras,MIL,148,545,619,147,94,29,1,23,81,83,66,3,132,4,3,0,7,2,0.27
17,Adley Rutschman,BAL,146,536,613,138,89,28,1,20,76,73,68,3,97,4,5,1,2,0,0.257
18,Jackson Merrill,SDP,152,584,631,162,101,31,5,25,80,87,37,2,105,2,5,3,16,4,0.277
19,Elly De La Cruz,CIN,150,579,648,147,85,31,7,24,97,78,59,2,198,5,3,1,55,12,0.254
20,Austin Riley,ATL,150,580,649,155,91,31,2,32,92,92,53,2,157,9,5,0,2,0,0.268
