#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,159,558,686,156,80,26,0,49,114,124,116,15,178,6,5,1,8,2,0.279
2,Bobby Witt Jr.,KCR,159,623,686,182,107,37,8,30,108,101,50,5,111,6,6,1,32,11,0.292
3,Gunnar Henderson,BAL,157,592,679,162,95,30,6,31,108,95,75,1,150,6,5,1,17,4,0.274
4,Juan Soto,NYM,159,542,686,151,87,27,2,35,113,100,135,7,112,4,4,1,8,4,0.279
5,Julio Rodríguez,SEA,157,618,679,172,112,29,2,29,95,92,48,3,159,9,3,1,28,7,0.278
6,Mookie Betts,LAD,157,583,679,163,98,34,3,28,109,94,84,3,94,7,5,1,15,3,0.28
7,Francisco Lindor,NYM,159,607,686,157,95,31,3,28,101,89,63,2,130,10,5,2,23,5,0.259
8,Shohei Ohtani,LAD,151,561,651,160,83,30,5,42,119,116,79,10,150,5,4,1,36,6,0.285
9,Fernando Tatis Jr.,SDP,152,590,658,163,91,34,1,37,104,101,57,1,141,7,3,1,19,4,0.277
10,José Ramírez,CLE,156,598,672,164,93,38,3,30,98,99,64,16,81,4,6,1,29,6,0.275
11,Yordan Alvarez,HOU,141,522,609,157,87,32,2,36,94,104,73,11,104,10,5,0,3,1,0.301
12,Cal Raleigh,SEA,146,517,584,117,63,23,1,30,71,85,58,2,159,4,4,0,3,1,0.227
13,Patrick Bailey,SFG,128,455,506,108,73,22,1,12,54,52,42,0,121,3,4,1,4,1,0.236
14,Michael Harris II,ATL,146,584,630,170,110,32,4,24,87,86,35,2,121,7,4,1,18,5,0.291
15,Ronald Acuña Jr.,ATL,128,474,553,139,85,26,2,25,101,73,66,2,100,8,3,1,39,9,0.293
16,Elly De La Cruz,CIN,154,595,665,153,89,31,8,25,98,88,62,2,195,5,3,1,54,14,0.258
17,Jackson Merrill,SDP,154,616,665,172,111,31,5,25,84,94,39,2,110,3,5,3,15,4,0.28
18,Corey Seager,TEX,126,481,546,136,81,26,1,28,79,80,55,9,93,5,4,1,2,1,0.282
19,William Contreras,MIL,156,551,626,150,95,31,1,23,83,83,68,3,132,4,3,0,7,2,0.272
20,Vladimir Guerrero Jr.,TOR,157,597,679,175,108,35,0,32,98,101,71,8,97,6,4,1,5,2,0.294
21,Kyle Tucker,CHC,154,575,665,155,92,31,2,30,96,95,82,6,102,2,5,1,21,3,0.27
22,Adley Rutschman,BAL,146,511,586,133,87,28,1,18,74,68,66,3,92,4,4,1,2,0,0.261
23,Bryce Harper,PHI,154,568,665,160,90,39,0,31,98,96,87,11,145,4,5,1,10,3,0.282
24,Austin Riley,ATL,157,607,679,164,97,33,2,32,96,98,56,1,165,10,6,1,2,0,0.271
25,Trea Turner,PHI,156,620,672,175,116,33,2,23,97,81,41,1,129,6,4,1,24,4,0.282
26,Ketel Marte,ARI,147,558,637,153,91,32,4,26,92,87,67,5,115,6,5,1,7,2,0.274
27,Matt Chapman,SFG,157,595,679,143,81,34,2,26,86,83,71,2,176,8,5,0,10,3,0.241
28,Freddie Freeman,LAD,154,576,665,168,106,36,2,24,97,92,74,9,109,9,5,0,11,2,0.292
