#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,159,564,686,169,83,28,1,57,118,147,113,8,174,6,4,0,9,2,0.3
2,Bobby Witt Jr.,KCR,159,622,686,190,110,39,8,33,110,104,51,4,110,6,7,0,36,10,0.306
3,Julio Rodríguez,SEA,157,615,679,177,112,31,2,32,91,101,51,4,161,9,5,0,32,7,0.288
4,Gunnar Henderson,BAL,157,592,679,163,91,34,7,32,111,103,75,4,159,5,6,0,18,4,0.276
5,Juan Soto,NYM,159,549,686,159,90,30,2,37,116,111,129,7,109,3,5,0,10,5,0.289
6,Shohei Ohtani,LAD,151,563,651,164,82,31,5,47,120,134,79,6,149,5,4,0,35,10,0.291
7,Yordan Alvarez,HOU,141,523,609,161,88,32,2,39,97,112,72,6,102,10,5,0,5,1,0.309
8,Vladimir Guerrero Jr.,TOR,157,596,679,183,111,38,1,34,97,109,71,5,91,6,5,0,6,2,0.308
9,Fernando Tatis Jr.,SDP,152,591,658,166,94,33,2,37,88,106,57,4,141,6,5,0,22,5,0.281
10,Ronald Acuña Jr.,ATL,128,478,553,146,87,28,2,29,90,97,63,4,99,8,4,0,40,11,0.305
11,Mookie Betts,LAD,157,592,679,160,97,32,3,28,102,101,76,3,96,6,5,0,15,4,0.271
12,Elly De La Cruz,CIN,154,599,665,155,85,32,8,30,100,93,57,3,205,4,5,1,54,12,0.259
13,Austin Riley,ATL,157,608,679,171,98,34,2,36,102,120,55,4,162,10,6,0,2,1,0.281
14,José Ramírez,CLE,156,600,672,161,95,35,3,27,84,88,63,3,83,3,5,0,34,8,0.269
15,Francisco Lindor,NYM,159,611,686,155,95,30,2,28,90,95,59,3,130,10,5,0,24,7,0.254
16,Cal Raleigh,SEA,146,517,584,122,65,25,1,31,74,91,58,3,158,4,5,0,4,2,0.236
17,Kyle Tucker,CHC,154,576,665,160,94,33,3,30,94,95,80,4,98,3,6,0,24,4,0.277
18,William Contreras,MIL,156,552,626,153,95,31,2,25,79,83,66,3,132,4,4,0,7,2,0.277
19,Michael Harris II,ATL,146,582,630,168,107,33,4,25,92,95,36,3,122,6,5,0,20,4,0.289
20,Corey Seager,TEX,126,486,546,137,82,26,1,28,72,84,52,3,93,4,4,0,3,1,0.282
21,Manny Machado,SDP,151,593,651,163,99,30,1,32,78,95,52,3,123,2,5,0,9,3,0.274
22,Mike Trout,LAA,120,448,518,120,63,21,2,32,78,88,60,3,136,7,3,0,10,2,0.267
23,Bryce Harper,PHI,154,572,665,158,90,35,1,32,94,105,84,4,144,4,4,0,11,4,0.277
