#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Mookie Betts,LAD,150,603.0,693,162.0,93.0,36.0,3.0,31.0,107.0,84.0,71.0,1.0,110.0,9.0,4.0,7.0,18.0,5.0,13.0,0.268,0.352256186,0.494195688,0.846451875,0.28111588,15.87301587,10.24531025,584,693,179,99,40,1,39,126,107,96,3,107,8,5,0,14,3,11,0.307,0.408,0.579,0.987,0.316,15.4,13.9,0.7099236641221374,0.2748091603053435,0.022900763358778626,0.0447330447330447,0.7071428571428572,0.2857142857142857,0.007142857142857143,0.0562770562770562,131.0,140
2,Marcus Semien,TEX,150,671.3887283,753,167.5751445,103.3742775,32.64450867,3.264450867,27.20375723,101.1979769,79.4349711,64.20086705,0.0,132.7543353,4.352601156,4.352601156,6.528901734,25.02745665,7.617052023,17.41040462,0.249,0.317251462,0.427876823,0.745128285,0.272151899,17.6300578,8.526011561,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,14,3,11,0.276,0.348,0.478,0.826,0.291,14.6,9.6,0.7364341089054196,0.23255813955310783,0.023255813955310782,0.0361271676361221,0.717948717948718,0.2564102564102564,0.02564102564102564,0.0385126162018592,140.37138726999999,156
3,Jose Altuve,HOU,149,359.4927536,410,98.04347826,62.98550725,19.60869565,0.594202899,15.44927536,60.60869565,45.75362319,39.2173913,1.188405797,60.01449275,4.753623188,2.376811594,4.15942029,8.913043478,2.971014493,5.942028986,0.273,0.349926794,0.461157025,0.811083818,0.288381743,14.63768116,9.565217391,360,410,112,72,21,2,17,76,51,44,0,71,5,1,0,14,2,12,0.311,0.393,0.522,0.915,0.348,17.3,10.7,0.7625899280880402,0.23741007191195984,0.007194244609629861,0.0376811594146341,0.7578947368421053,0.22105263157894736,0.021052631578947368,0.0414634146341463,82.5942029,95
4,Trea Turner,PHI,150,627.6331878,691,178.0305677,119.6928675,34.19796215,3.017467249,21.12227074,95.55312955,75.43668122,47.27365357,1.005822416,120.69869,5.029112082,5.029112082,5.029112082,30.17467249,7.040756914,23.13391557,0.283,0.336270191,0.448717949,0.78498814,0.319672131,17.46724891,6.841339156,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,30,0,30,0.266,0.32,0.459,0.778,0.31,21.7,6.5,0.7628205124838798,0.21794871789805959,0.019230769229298506,0.030567685586107,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.0376266280752532,156.90829696,144
5,Ronald Acuna Jr.,ATL,147,625.0733138,735,168.1231672,100.2272727,34.48680352,1.07771261,32.3313783,119.6260997,86.2170088,86.2170088,5.38856305,167.0454545,12.93255132,4.31085044,6.46627566,46.34164223,12.93255132,33.40909091,0.269,0.366863905,0.482758621,0.849622526,0.315789474,22.72727273,11.73020528,643,735,217,137,35,4,41,149,106,80,3,84,9,3,0,73,14,59,0.337,0.416,0.596,1.012,0.338,11.4,10.9,0.7380952376568918,0.25396825389344285,0.00793650793417009,0.0439882697959183,0.7784090909090909,0.19886363636363635,0.022727272727272728,0.05578231292517,135.79178890000003,176
6,Cedric Mullins,BAL,147,407.4926471,455,101.7058824,65.57352941,20.74264706,2.676470588,12.71323529,60.22058824,43.49264706,34.79411765,1.338235294,85.64705882,5.352941176,2.676470588,4.014705882,24.75735294,6.691176471,18.06617647,0.25,0.315007429,0.407224959,0.722232388,0.285407725,18.82352941,7.647058824,404,455,94,53,23,3,15,51,74,43,1,101,1,4,3,19,3,16,0.233,0.305,0.416,0.721,0.271,22.2,9.5,0.7368421048195969,0.23308270664609967,0.030075187949985684,0.0279411764615384,0.6708860759493671,0.2911392405063291,0.0379746835443038,0.0329670329670329,88.99264711,79
7,Bobby Witt Jr.,KCR,149,636.7628866,694,164.556701,99.14285714,34.75110457,5.110456554,25.55228277,93.01030928,78.70103093,40.88365243,2.044182622,140.0265096,7.154639175,5.110456554,5.110456554,34.75110457,11.24300442,23.50810015,0.259,0.308148148,0.449438202,0.75758635,0.291845494,20.17673049,5.8910162,641,694,177,108,28,11,30,97,96,40,1,121,4,8,1,49,15,34,0.276,0.319,0.495,0.813,0.295,17.4,5.8,0.7132352942620563,0.25000000008992523,0.03676470589261499,0.0368188512536023,0.7346938775510204,0.19047619047619047,0.07482993197278912,0.0432276657060518,139.00441823,147
8,Aaron Judge,NYY,150,383.5834564,458,105.5361891,58.85672083,16.91285081,0.676514032,29.76661743,75.76957164,71.71048744,64.26883309,9.471196455,114.3308715,4.059084195,3.382570162,2.70605613,8.11816839,3.382570162,4.735598227,0.275,0.381872214,0.557319224,0.939191438,0.311977716,24.96307238,14.03249631,367,458,98,45,16,0,37,79,75,88,9,130,0,3,0,3,1,2,0.267,0.406,0.613,1.019,0.3,28.4,19.2,0.7767857140111506,0.22321428559291204,0.00892857141843732,0.0649926144759825,0.7377049180327869,0.26229508196721313,0.0,0.0807860262008733,75.76957167,61
9,Mike Trout,LAA,150,305.8552437,362,78.60265879,41.17282127,14.97193501,1.069423929,20.85376662,56.14475628,52.93648449,47.05465288,5.347119645,95.71344165,4.277695716,2.673559823,2.138847858,1.604135894,0.534711965,1.069423929,0.257,0.361069837,0.515734266,0.876804102,0.300835655,26.44017725,12.9985229,308,362,81,48,14,1,18,54,44,45,2,104,7,2,0,2,0,2,0.263,0.367,0.49,0.858,0.335,28.7,12.4,0.7129629629741865,0.2592592593105669,0.018518518517235825,0.0576070901104972,0.7619047619047619,0.2222222222222222,0.015873015873015872,0.0497237569060773,57.748892170000005,63
10,Juan Soto,SDP,150,549.6177778,708,153.1377778,89.15555556,28.32,2.097777778,33.56444444,118.5244444,98.59555556,143.6977778,10.48888889,97.54666667,5.244444444,5.244444444,4.195555556,10.48888889,4.195555556,6.293333333,0.279,0.429210134,0.520992366,0.950202501,0.282178218,13.77777778,20.2962963,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,12,5,7,0.275,0.41,0.519,0.93,0.296,18.2,18.6,0.7456140349586052,0.2368421052103385,0.01754385964706872,0.0474074074011299,0.7272727272727273,0.2644628099173554,0.008264462809917356,0.0494350282485875,119.57333336,121
