#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Ronald Acuna Jr.,ATL,152,191.3117647,222,58.76470588,35.58529412,11.1,0.979411765,11.1,40.80882353,30.68823529,25.79117647,1.305882353,34.60588235,3.591176471,1.305882353,0.326470588,19.26176471,4.570588235,14.69117647,0.307,0.397058824,0.549488055,0.946546878,0.324444444,15.58823529,11.61764706,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,16,3,13,0.25,0.351,0.365,0.716,0.326,23.9,12.2,0.7465753425519721,0.23287671234026294,0.020547945212664346,0.0499999999999999,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018,47.66470588,44
2,Marcus Semien,TEX,153,638.8088235,718,168.9411765,99.25294118,35.9,3.167647059,30.62058824,100.3088235,95.02941176,64.40882353,0.0,116.1470588,4.223529412,5.279411765,1.055882353,19.00588235,5.279411765,13.72647059,0.265,0.333333333,0.474380165,0.807713499,0.278131635,16.17647059,8.970588235,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,8,3,5,0.237,0.308,0.391,0.699,0.25,14.6,8.9,0.7175572518057478,0.2595419846864668,0.022900763355964054,0.0426470588300835,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.032033426183844,138.32058826000002,131
3,Freddie Freeman,LAD,153,555.0694239,638,168.6883309,106.4903988,35.81093058,2.82717873,23.55982275,95.1816839,88.58493353,70.67946824,8.481536189,99.89364845,8.481536189,3.76957164,0.94239291,15.07828656,4.711964549,10.36632201,0.304,0.388478582,0.505942275,0.894420857,0.333333333,15.65731167,11.07828656,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,9,2,7,0.282,0.378,0.476,0.854,0.306,15.7,12.2,0.7337662335089605,0.2467532467362443,0.019480519479177182,0.0369276218652037,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.0344827586206896,145.12850815000002,131
4,Trea Turner,PHI,153,491.3223388,539,138.1844078,88.89055472,25.85907046,3.232383808,19.39430285,76.76911544,68.68815592,37.17241379,0.808095952,108.2848576,4.04047976,3.232383808,0.808095952,25.85907046,4.848575712,21.01049475,0.28,0.334841629,0.463815789,0.798657418,0.323788546,20.08995502,6.896551724,505,539,149,103,25,0,21,88,62,27,0,98,6,1,0,19,4,15,0.295,0.338,0.469,0.807,0.331,18.2,5.0,0.7482993196900951,0.21768707478526395,0.027210884352367095,0.0359820089981447,0.8046875,0.1953125,0.0,0.0389610389610389,118.79010495,128
5,Austin Riley,ATL,153,417.5157895,469,117.0736842,66.29473684,22.56842105,1.410526316,26.09473684,69.11578947,74.75789474,40.2,2.115789474,110.7263158,7.052631579,3.526315789,0.0,1.410526316,0.0,1.410526316,0.28,0.350903614,0.527027027,0.877930641,0.320099256,23.60902256,8.571428571,425,469,109,62,26,2,19,63,56,37,0,118,5,2,0,0,0,0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,0.7286821705869426,0.24806201549791157,0.015503875972741303,0.055639097739872,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.0405117270788912,90.97894736,90
6,Juan Soto,NYY,153,568.2556391,713,158.6827068,88.99097744,28.94887218,2.144360902,38.59849624,115.7954887,102.9293233,135.0947368,9.64962406,116.8676692,4.288721805,4.288721805,1.072180451,10.72180451,4.288721805,6.433082707,0.278,0.418674699,0.541509434,0.960184133,0.287917738,16.39097744,18.94736842,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,7,4,3,0.288,0.419,0.569,0.989,0.298,16.7,18.1,0.7410714283335003,0.24107142850005006,0.017857142850005007,0.054135338345021,0.72,0.248,0.032,0.0575035063113604,120.08421056,125
7,Vladimir Guerrero Jr.,TOR,153,611.8461538,697,177.6666667,109.3333333,34.69230769,1.051282051,33.64102564,98.82051282,104.0769231,71.48717949,6.307692308,99.87179487,7.358974359,5.256410256,1.051282051,7.358974359,2.102564103,5.256410256,0.29,0.36858006,0.517182131,0.885762191,0.297826087,14.32880845,10.25641026,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,2,2,0,0.323,0.396,0.544,0.94,0.342,13.8,10.3,0.7591240871787028,0.2408759123352726,0.007299270069293036,0.0482654600286944,0.7337278106508875,0.2603550295857988,0.005917159763313609,0.0430416068866571,144.02564106,169
8,Matt Olson,ATL,153,583.7481146,685,157.0437406,82.6546003,29.96229261,1.033182504,44.42684766,105.3846154,114.6832579,87.82051282,6.199095023,153.9441931,7.232277526,5.165912519,1.033182504,2.066365008,1.033182504,1.033182504,0.27,0.36858006,0.553982301,0.922562361,0.288359788,22.47360483,12.82051282,600,685,148,81,37,1,29,78,98,71,5,170,9,5,0,0,0,0,0.247,0.333,0.457,0.79,0.293,24.8,10.4,0.7339449539247783,0.2660550458088317,0.009174311926279644,0.0648567119124087,0.680672268907563,0.31092436974789917,0.008403361344537815,0.0423357664233576,112.61689294000001,119
9,Julio Rodriguez,SEA,151,552.8111782,613,158.3429003,94.45015106,30.55740181,2.777945619,29.63141994,95.37613293,83.33836858,47.22507553,4.629909366,145.3791541,9.259818731,2.777945619,0.925981873,31.48338369,8.333836858,23.14954683,0.286,0.350983359,0.510887772,0.861871131,0.338199513,23.71601208,7.703927492,567,613,155,118,17,0,20,76,68,38,1,156,6,2,0,24,5,19,0.273,0.325,0.409,0.734,0.344,25.4,6.2,0.7338129496749423,0.2374100719262367,0.02158273381076976,0.0483383685807504,0.8740740740740741,0.1259259259259259,0.0,0.032626427406199,128.71148036,135
10,Mookie Betts,LAD,149,442.6202723,516,125.6822995,69.47655068,27.32223903,2.341906203,27.32223903,81.9667171,78.84417549,62.45083207,1.561270802,79.62481089,6.245083207,3.903177005,0.780635401,10.92889561,3.122541604,7.806354009,0.284,0.377272727,0.543209877,0.920482604,0.289655172,15.4311649,12.10287443,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,16,2,14,0.289,0.372,0.491,0.863,0.294,11.0,11.8,0.7063492066598563,0.2777777778850932,0.023809523823079447,0.0529500756395348,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.0368217054263565,98.36006047000001,111
