#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,146,520,639,149,73,24,1,50,107,121,107,12,163,6,5,0,6,2,0.286
2,Gunnar Henderson,BAL,152,585,664,157,88,31,6,33,100,92,69,1,155,6,4,0,15,4,0.268
3,Bobby Witt Jr.,KCR,153,607,667,175,104,35,8,28,105,91,47,4,112,6,6,1,38,11,0.289
4,Juan Soto,NYM,153,538,674,143,82,27,2,32,102,90,127,7,115,4,4,1,7,3,0.266
5,Shohei Ohtani,LAD,145,553,643,160,84,28,6,42,117,109,79,12,143,5,4,1,31,12,0.289
6,José Ramírez,CLE,153,590,661,163,93,35,4,31,97,95,60,13,78,4,6,1,32,9,0.276
7,Mookie Betts,LAD,148,563,652,154,92,32,3,28,96,89,75,1,88,7,5,1,14,4,0.274
8,Yordan Alvarez,HOU,136,506,591,152,84,32,1,35,91,99,70,9,97,9,5,0,2,1,0.3
9,Cal Raleigh,SEA,142,506,572,111,58,22,1,30,66,86,57,2,162,5,4,0,3,1,0.22
10,Corey Seager,TEX,127,484,549,137,78,27,1,31,76,87,54,7,94,5,4,0,1,1,0.282
11,William Contreras,MIL,148,545,619,144,93,27,2,21,75,83,64,2,134,5,3,1,5,2,0.263
12,Kyle Tucker,CHC,148,551,640,152,87,31,3,31,94,98,79,6,97,3,6,0,22,5,0.275
13,Adley Rutschman,BAL,146,537,613,139,90,28,2,19,73,73,66,3,97,5,5,1,2,1,0.258
14,Julio Rodríguez,SEA,147,581,641,160,102,28,3,26,89,84,46,3,156,9,3,0,30,7,0.275
15,Vladimir Guerrero Jr.,TOR,154,586,667,173,109,33,1,30,94,99,68,7,92,7,4,1,6,2,0.296
16,Francisco Lindor,NYM,153,593,671,151,90,30,2,29,92,85,58,1,130,10,5,1,23,6,0.254
17,Ketel Marte,ARI,141,539,614,148,86,30,3,29,87,95,64,4,112,6,4,1,6,2,0.275
18,Fernando Tatis Jr.,SDP,146,564,632,151,88,30,2,32,97,89,56,1,142,7,4,1,26,6,0.268
19,Corbin Carroll,ARI,150,570,653,147,86,30,9,22,102,74,66,1,130,9,4,3,40,7,0.258
20,Francisco Alvarez,NYM,123,415,465,93,57,17,1,19,52,58,40,1,119,6,3,1,1,1,0.224
21,Ronald Acuña Jr.,ATL,116,449,520,128,83,24,2,20,87,61,58,2,93,8,3,0,41,10,0.285
22,Trea Turner,PHI,146,581,636,162,106,30,3,23,87,81,39,0,124,6,4,1,24,5,0.278
23,Austin Riley,ATL,150,579,649,154,91,31,2,30,88,93,54,1,156,10,5,0,1,1,0.266
24,Rafael Devers,BOS,145,554,629,149,84,31,2,32,85,99,64,10,134,7,4,0,3,1,0.27
25,Bryce Harper,PHI,144,534,624,149,87,33,1,27,88,90,80,9,133,5,4,1,9,5,0.279
26,Patrick Bailey,SFG,113,388,430,89,61,18,1,9,42,41,35,1,102,3,4,1,2,1,0.229
27,Willy Adames,SFG,150,568,642,139,82,29,1,27,81,83,63,2,157,3,5,0,13,3,0.244
28,Manny Machado,SDP,149,574,634,151,95,26,1,29,82,89,51,4,122,2,5,1,9,2,0.263
29,Will Smith,LAD,123,436,503,110,67,21,2,19,64,67,50,3,91,10,6,0,2,1,0.252
30,Isaac Paredes,HOU,141,514,594,124,77,22,1,25,74,74,63,1,96,12,5,0,1,0,0.242
31,Freddie Freeman,LAD,146,553,637,157,101,33,2,21,87,83,70,9,101,8,5,1,14,3,0.284
32,Bo Bichette,TOR,140,560,602,157,109,30,1,16,74,72,34,1,113,4,4,1,12,3,0.28
33,Alex Bregman,BOS,145,556,633,144,90,29,2,23,78,81,63,1,83,7,7,1,2,1,0.259
