#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Freddie Freeman,LAD,155,632.8106509,730,190.0591716,118.7869822,41.03550296,2.159763314,29.15680473,106.908284,102.5887574,84.23076923,9.718934911,111.2278107,7.559171598,5.399408284,0.0,9.718934911,3.23964497,6.479289941,0.301,0.386094675,0.511945392,0.898040067,0.323210412,15.23668639,11.53846154,637,730,211,121,59,2,29,131,102,72,12,121,16,5,0,23,1,22,0.331,0.41,0.567,0.976,0.37,16.6,9.9,0.7382550332275295,0.25503355704614566,0.013422818793865018,0.0399408283972602,0.6648351648351648,0.3241758241758242,0.01098901098901099,0.0397260273972602,160.90236687,182
2,Marcus Semien,TEX,154,676.0266667,753,165.1022222,95.93777778,36.81333333,3.346666667,29.00444444,94.82222222,89.24444444,64.70222222,0.0,157.2933333,3.346666667,5.577777778,1.115555556,17.84888889,5.577777778,12.27111111,0.244,0.311011905,0.437293729,0.748305634,0.274774775,20.88888889,8.592592593,670,753,185,112,40,4,29,122,100,72,1,110,5,5,0,14,3,11,0.276,0.348,0.478,0.826,0.291,14.6,9.6,0.7049180328952934,0.2704918032895294,0.024590163940087544,0.0385185185126162,0.717948717948718,0.2564102564102564,0.02564102564102564,0.0385126162018592,136.09777775999999,156
3,Juan Soto,SDP,152,562.3603604,708,156.2702703,93.54954955,29.76576577,2.126126126,31.89189189,109.4954955,96.73873874,136.0720721,9.567567568,106.3063063,4.252252252,4.252252252,0.0,9.567567568,3.189189189,6.378378378,0.278,0.419548872,0.510396975,0.929945848,0.290322581,15.01501502,19.21921922,568,708,156,88,32,1,35,97,109,132,11,129,2,5,1,12,5,7,0.275,0.41,0.519,0.93,0.296,18.2,18.6,0.7521367519491525,0.2393162392894394,0.017094017088657106,0.0450450450423728,0.7272727272727273,0.2644628099173554,0.008264462809917356,0.0494350282485875,124.37837841,121
4,Trea Turner,PHI,152,631.7714286,691,181.8421053,117.4180451,36.36842105,5.195488722,21.82105263,100.7924812,83.12781955,47.79849624,1.039097744,122.6135338,5.195488722,4.156390977,1.039097744,29.09473684,6.234586466,22.86015038,0.288,0.340874811,0.463815789,0.804690601,0.325581395,17.7443609,6.917293233,639,691,170,104,35,5,26,102,76,45,2,150,6,1,0,30,0,30,0.266,0.32,0.459,0.778,0.31,21.7,6.5,0.7337662335101799,0.22727272720171393,0.03246753246095866,0.031578947366136,0.7222222222222222,0.24305555555555555,0.034722222222222224,0.0376266280752532,160.02105267,144
5,Matt Olson,ATL,154,624.0,720,156.0,87.27272727,29.45454545,2.181818182,37.09090909,98.18181818,103.6363636,80.72727273,6.545454545,157.0909091,9.818181818,4.363636364,0.0,2.181818182,1.090909091,1.090909091,0.25,0.342943854,0.482517483,0.825461337,0.273869347,21.81818182,11.21212121,608,720,172,88,27,3,54,127,139,104,8,167,4,4,0,1,0,1,0.283,0.389,0.604,0.993,0.302,23.2,14.4,0.7339449540998934,0.24770642197822854,0.01834862385459978,0.0515151515138888,0.7457627118644068,0.2288135593220339,0.025423728813559324,0.075,118.90909091,118
6,Vladimir Guerrero Jr.,TOR,152,601.2776935,682,178.0030349,103.4901366,35.18664643,1.034901366,38.29135053,102.4552352,108.6646434,69.3383915,7.24430956,105.5599393,7.24430956,4.139605463,1.034901366,6.209408194,2.069802731,4.139605463,0.297,0.373292868,0.549053356,0.922346224,0.302690583,15.47799697,10.16691958,602,682,159,103,30,0,26,78,94,67,5,100,9,4,0,5,3,2,0.264,0.345,0.444,0.788,0.277,14.7,9.8,0.7407407409528177,0.2518518518237517,0.0074074074095281765,0.0561456752639296,0.7744360902255639,0.22556390977443608,0.0,0.0381231671554252,139.71168437,133
7,Bo Bichette,TOR,151,554.4179331,601,155.2735562,102.2978723,29.22796353,2.740121581,20.09422492,81.29027356,73.98328267,38.36170213,0.91337386,122.3920973,3.653495441,3.653495441,0.91337386,14.61398176,4.566869301,10.04711246,0.28,0.328767123,0.449752883,0.778520006,0.325274725,20.36474164,6.382978723,571,601,175,122,30,3,20,69,73,27,0,115,2,1,0,5,3,2,0.306,0.339,0.475,0.814,0.355,19.1,4.5,0.756756756608805,0.216216216290192,0.020270270277667847,0.0334346504492512,0.7870967741935484,0.1935483870967742,0.01935483870967742,0.0332778702163061,135.17933128,155
8,Pete Alonso,NYM,154,573.8721461,658,145.2207002,85.12937595,26.03957382,1.00152207,33.05022831,84.12785388,102.1552511,65.09893455,9.01369863,134.2039574,13.01978691,5.00761035,1.00152207,3.00456621,1.00152207,2.00304414,0.254,0.339939024,0.47469459,0.814633614,0.272506083,20.3957382,9.893455099,568,658,123,54,21,2,46,92,118,65,6,151,21,4,0,4,1,3,0.217,0.318,0.504,0.821,0.205,22.9,9.9,0.7589285710902788,0.23214285703937942,0.008928571424591516,0.0502283105015197,0.7012987012987013,0.2727272727272727,0.025974025974025976,0.0699088145896656,112.17047189000002,77
9,Francisco Lindor,NYM,151,610.4335878,687,151.0351145,95.44580153,29.36793893,2.097709924,24.12366412,86.00610687,84.95725191,60.83358779,3.146564885,127.9603053,7.341984733,5.244274809,1.048854962,13.6351145,4.195419847,9.439694656,0.248,0.320552147,0.420962199,0.741514347,0.273755656,18.6259542,8.854961832,602,687,153,87,33,2,31,108,98,66,1,137,12,7,0,31,4,27,0.254,0.336,0.47,0.806,0.277,19.9,9.6,0.7520661157382953,0.2314049586705228,0.01652892562269999,0.0351145038136826,0.7131147540983607,0.27049180327868855,0.01639344262295082,0.0451237263464337,126.91145037999999,122
10,Manny Machado,SDP,152,533.9159021,601,141.5198777,87.30122324,25.73088685,0.918960245,27.56880734,79.94954128,85.46330275,58.81345566,7.351681957,111.1941896,2.756880734,4.594801223,0.918960245,8.270642202,3.675840979,4.594801223,0.266,0.338437979,0.471600688,0.810038667,0.285057471,18.50152905,9.785932722,543,601,140,89,21,0,30,75,91,50,1,109,2,6,0,3,2,1,0.258,0.319,0.462,0.782,0.268,18.1,8.3,0.7661290320853815,0.22580645156477847,0.008064516130447693,0.0458715596339434,0.8090909090909091,0.19090909090909092,0.0,0.0499168053244592,113.95107035999999,110
