#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Marcus Semien,TEX,152,643.9369627507162,718.0,170.756446991404,103.89398280802293,37.03151862464183,3.08595988538682,26.744985673352435,109.03724928366762,95.6647564469914,67.89111747851003,1.0286532951289398,113.15186246418338,3.08595988538682,3.08595988538682,0.0,11.315186246418335,2.0573065902578795,9.257879656160458,0.265,0.336676218,0.45686901,0.793545227,0.283975659,15.75931232,9.455587393,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,8,3,5,0.237,0.308,0.391,0.699,0.25,14.6,8.9,0.7214285714285714,0.2571428571428572,0.021428571428571432,0.0372492836676217,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.032033426183844,144.01146131805157,131
2,Ronald Acuna Jr.,ATL,152,188.76453488372093,222.0,57.43604651162791,31.944767441860467,10.97093023255814,0.6453488372093024,13.875,45.174418604651166,37.43023255813954,28.395348837209305,1.2906976744186047,36.78488372093023,3.549418604651163,1.2906976744186047,0.0,16.45639534883721,3.226744186046512,13.2296511627907,0.304,0.402616279,0.58974359,0.992359869,0.3125,16.56976744,12.79069767,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,16,3,13,0.25,0.351,0.365,0.716,0.326,23.9,12.2,0.7333333333333334,0.2518518518518519,0.014814814814814815,0.0625,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018,43.56104651162791,44
3,Steven Kwan,CLE,152,480.1772525849335,540.0,131.61004431314623,98.90694239290988,23.1314623338257,5.583456425406204,3.988183161004431,69.3943870014771,47.85819793205317,51.04874446085672,1.5952732644017724,53.44165435745938,3.988183161004431,3.988183161004431,0.7976366322008862,14.357459379615952,3.190546528803545,11.166912850812407,0.274,0.346153846,0.370431894,0.71658574,0.299065421,9.896602659,9.453471196,480,540,140,107,16,3,14,83,44,53,0,51,5,0,2,12,5,7,0.292,0.368,0.425,0.793,0.304,9.4,9.8,0.7749999999999999,0.18124999999999997,0.04375,0.0073855243722304,0.8492063492063492,0.12698412698412698,0.023809523809523808,0.0259259259259259,127.6218611521418,126
4,Julio Rodriguez,SEA,152,558.3491827637445,613.0,153.0222882615156,93.81723625557208,28.23625557206537,1.8216939078751857,29.14710252600297,91.08469539375928,94.72808320950966,43.72065378900446,4.554234769687964,143.0029717682021,9.108469539375928,1.8216939078751857,0.0,30.96879643387816,8.197622585438335,22.771173848439823,0.274,0.335809807,0.48776509,0.823574897,0.319248826,23.32838039,7.132243685,567,613,155,118,17,0,20,76,68,38,1,156,6,2,0,24,5,19,0.273,0.325,0.409,0.734,0.344,25.4,6.2,0.7573529411764708,0.22794117647058817,0.014705882352941176,0.0475482912332838,0.8740740740740741,0.1259259259259259,0.0,0.032626427406199,123.87518573551263,135
5,Bobby Witt Jr.,KCR,152,650.7985074626866,709.0000000000001,178.83731343283583,106.87910447761196,37.03731343283582,7.407462686567165,27.513432835820897,102.64626865671644,102.64626865671644,43.38656716417911,1.0582089552238807,134.39253731343285,6.349253731343284,7.407462686567165,1.0582089552238807,37.03731343283582,10.582089552238807,26.455223880597018,0.275,0.322869955,0.481300813,0.804170768,0.304904051,18.95522388,6.119402985,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,31,12,19,0.332,0.389,0.588,0.977,0.354,15.0,8.0,0.7062937062937065,0.24475524475524477,0.04895104895104896,0.0388059701492537,0.6871508379888268,0.25139664804469275,0.061452513966480445,0.0451339915373765,151.32388059701492,179
6,Freddie Freeman,LAD,149,555.367469879518,638.0,166.22590361445782,102.81024096385542,37.47289156626506,1.921686746987952,24.0210843373494,104.73192771084337,90.31927710843374,70.14156626506023,10.569277108433734,102.81024096385542,8.647590361445783,3.843373493975904,0.0,13.451807228915662,0.960843373493976,12.490963855421686,0.299,0.384036145,0.503460208,0.887496352,0.328888889,16.11445783,10.9939759,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,9,2,7,0.282,0.378,0.476,0.854,0.306,15.7,12.2,0.722972972972973,0.26351351351351354,0.013513513513513516,0.0376506024096385,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.0344827586206896,142.2048192771084,131
7,Matt Olson,ATL,152,585.5143721633888,684.9999999999999,152.33736762481087,80.8320726172466,32.12556732223903,1.0363086232980332,38.34341906202723,98.44931921331316,120.21180030257185,89.12254160363085,7.254160363086232,151.30105900151284,5.181543116490166,5.181543116490166,0.0,1.0363086232980332,1.0363086232980332,0.0,0.26,0.360060514,0.515044248,0.875104762,0.284237726,22.08774584,13.01059002,600,685,148,81,37,1,29,78,98,71,5,170,9,5,0,0,0,0,0.247,0.333,0.457,0.79,0.293,24.8,10.4,0.7090909090909093,0.28181818181818186,0.009090909090909092,0.0559757942511346,0.680672268907563,0.31092436974789917,0.008403361344537815,0.0423357664233576,113.99394856278363,119
8,Juan Soto,NYY,152,564.9984848484848,713.0,155.56363636363636,91.82575757575758,27.00757575757576,1.0803030303030303,35.65,109.11060606060606,111.27121212121212,141.51969696969698,14.043939393939397,116.67272727272729,3.240909090909091,3.240909090909091,0.0,11.883333333333333,4.321212121212121,7.5621212121212125,0.275,0.421212121,0.51625239,0.937464511,0.288311688,16.36363636,19.84848485,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,7,4,3,0.288,0.419,0.569,0.989,0.298,16.7,18.1,0.7657657657657658,0.22522522522522526,0.009009009009009009,0.0499999999999999,0.72,0.248,0.032,0.0575035063113604,119.91363636363636,125
9,Vladimir Guerrero Jr.,TOR,152,616.617602427921,697.0,171.34142640364186,105.76631259484066,31.7298937784522,1.0576631259484066,32.7875569044006,94.1320182094082,105.76631259484066,69.80576631259484,5.2883156297420335,102.59332321699544,7.403641881638846,3.17298937784522,0.0,5.2883156297420335,2.115326251896813,3.17298937784522,0.278,0.35660091,0.492281304,0.848882214,0.286026201,14.71927162,10.01517451,616,697,199,124,44,1,30,98,103,72,12,96,5,4,0,2,2,0,0.323,0.396,0.544,0.94,0.342,13.8,10.3,0.7633587786259541,0.22900763358778628,0.007633587786259542,0.047040971168437,0.7337278106508875,0.2603550295857988,0.005917159763313609,0.0430416068866571,138.55386949924127,169
10,Bo Bichette,TOR,150,314.0091324200913,336.0,91.54337899543378,60.85844748858448,17.38812785388128,1.0228310502283104,12.273972602739724,46.02739726027397,47.56164383561644,18.922374429223744,0.0,64.94977168949771,1.5342465753424657,1.5342465753424657,0.0,5.625570776255708,2.045662100456621,3.5799086757990866,0.292,0.333333333,0.470684039,0.804017372,0.332618026,19.33028919,5.631659056,311,336,70,49,16,1,4,29,31,20,1,64,3,2,0,5,1,4,0.225,0.277,0.322,0.598,0.269,19.0,6.0,0.767741935483871,0.21935483870967742,0.012903225806451611,0.0365296803652967,0.7424242424242424,0.24242424242424243,0.015151515151515152,0.0119047619047619,79.26940639269407,66
11,Spencer Torkelson,DET,152,334.5365853658537,381.0,81.3109756097561,42.39786585365854,19.166158536585368,0.5807926829268293,19.166158536585368,52.85213414634146,54.59451219512195,38.91310975609756,0.5807926829268293,90.02286585365854,4.065548780487805,3.484756097560976,0.0,1.742378048780488,0.0,1.742378048780488,0.243,0.326219512,0.475694444,0.801913957,0.271573604,23.62804878,10.21341463,342,381,75,43,21,1,10,45,37,33,0,105,4,1,0,0,0,0,0.219,0.295,0.374,0.669,0.285,27.6,8.7,0.6822429906542057,0.30841121495327106,0.009345794392523366,0.0503048780487804,0.6615384615384615,0.3230769230769231,0.015384615384615385,0.0262467191601049,62.14481707317073,65
12,Trea Turner,PHI,148,494.5633587786259,539.0,143.18473282442747,92.1648854961832,27.97862595419847,3.2916030534351144,19.749618320610686,80.64427480916031,69.94656488549619,37.03053435114504,0.8229007633587786,105.33129770992366,4.114503816793893,3.2916030534351144,0.0,22.218320610687023,1.6458015267175572,20.572519083969464,0.29,0.341984733,0.479201331,0.821186064,0.331125828,19.54198473,6.870229008,505,539,149,103,25,0,21,88,62,27,0,98,6,1,0,19,4,15,0.295,0.338,0.469,0.807,0.331,18.2,5.0,0.7466666666666667,0.22666666666666668,0.02666666666666667,0.0366412213740458,0.8046875,0.1953125,0.0,0.0389610389610389,123.43511450381678,128
13,Austin Riley,ATL,152,416.7297709923664,469.0,117.4290076335878,68.73893129770993,22.91297709923664,1.43206106870229,24.34503816793893,68.73893129770993,73.75114503816793,39.38167938931298,2.148091603053435,111.70076335877864,7.876335877862596,5.012213740458016,0.0,1.43206106870229,0.716030534351145,0.716030534351145,0.282,0.351145038,0.518900344,0.870045382,0.325814536,23.81679389,8.396946565,425,469,109,62,26,2,19,63,56,37,0,118,5,2,0,0,0,0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,0.7384615384615384,0.24615384615384614,0.015384615384615384,0.0519083969465648,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.0405117270788912,93.08396946564886,90
14,Rafael Devers,BOS,152,537.6885496183206,601.0,150.4793893129771,84.41526717557252,34.86717557251909,0.917557251908397,30.279389312977106,87.16793893129771,98.17862595419848,53.21832061068702,8.258015267175573,115.61221374045802,7.340458015267176,2.752671755725191,0.0,3.670229007633588,1.835114503816794,1.835114503816794,0.28,0.351145038,0.517064846,0.868209885,0.304651163,19.23664122,8.854961832,525,601,143,76,34,5,28,87,83,67,14,147,3,6,0,3,0,3,0.272,0.354,0.516,0.871,0.323,24.5,11.1,0.7022900763358779,0.29007633587786263,0.0076335877862595426,0.0503816793893129,0.6608695652173913,0.2956521739130435,0.043478260869565216,0.0465890183028286,120.2,115
15,Alex Bregman,HOU,148,538.4123076923076,634.0,143.38153846153847,88.76,31.212307692307693,1.9507692307692308,21.45846153846154,88.76,85.83384615384615,82.90769230769232,1.9507692307692308,79.00615384615385,7.803076923076923,4.876923076923077,0.0,1.9507692307692308,0.9753846153846154,0.9753846153846154,0.266,0.369230769,0.451086957,0.820317726,0.275330396,12.46153846,13.07692308,581,634,151,93,30,2,26,79,75,44,1,86,5,4,0,3,1,2,0.26,0.315,0.453,0.768,0.264,13.6,6.9,0.728,0.256,0.016,0.0338461538461538,0.744,0.24,0.016,0.0410094637223974,121.92307692307693,125
