#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,145,517,635,146,74,26,0,46,102,124,109,14,165,5,4,0,8,1,0.282
2,Shohei Ohtani,LAD,152,589,680,171,88,33,5,45,127,139,82,10,157,5,4,0,42,5,0.29
3,Juan Soto,NYM,152,528,672,146,85,26,2,33,108,100,137,8,109,3,4,0,7,4,0.277
4,Bobby Witt Jr.,KCR,152,607,668,175,102,36,8,29,104,102,48,5,112,6,7,0,28,11,0.288
5,Gunnar Henderson,BAL,152,576,660,158,94,29,7,28,107,97,73,1,151,6,5,0,16,4,0.274
6,Francisco Lindor,NYM,149,580,656,151,91,30,3,27,97,93,60,2,124,10,5,1,21,4,0.26
7,Julio Rodríguez,SEA,149,595,650,167,111,27,2,27,92,91,45,3,155,8,2,0,27,7,0.281
8,José Ramírez,CLE,150,577,650,156,87,37,3,29,95,100,63,16,78,3,7,0,27,5,0.27
9,Yordan Alvarez,HOU,144,526,613,158,87,33,2,36,93,106,72,11,104,10,5,0,3,0,0.3
10,Corey Seager,TEX,126,487,552,137,82,26,1,28,75,84,56,9,94,5,4,0,1,1,0.281
11,Cal Raleigh,SEA,135,469,529,108,57,22,1,28,65,81,52,2,143,4,4,0,3,1,0.23
12,Mookie Betts,LAD,130,499,586,141,85,30,2,24,95,86,76,3,81,6,5,0,13,3,0.283
13,Ronald Acuña Jr.,ATL,121,466,547,137,83,26,2,26,105,77,69,2,103,9,3,0,36,8,0.294
14,Adley Rutschman,BAL,135,507,579,132,85,29,1,17,69,70,64,3,91,3,5,0,2,0,0.26
15,Elly De La Cruz,CIN,152,597,664,157,91,32,9,25,104,88,61,2,198,4,1,1,54,13,0.263
16,Fernando Tatis Jr.,SDP,120,467,520,129,71,28,1,29,83,82,46,1,114,5,2,0,16,3,0.276
17,William Contreras,MIL,135,500,567,135,86,28,1,20,76,75,62,3,121,3,2,0,6,1,0.27
18,Andrés Giménez,TOR,152,551,610,147,104,27,3,13,68,70,31,2,103,20,4,4,26,4,0.267
19,Michael Harris II,ATL,137,521,560,153,100,29,4,20,78,75,30,2,112,6,3,0,15,5,0.294
20,Vladimir Guerrero Jr.,TOR,152,585,665,170,106,34,0,30,91,99,71,8,94,6,3,0,4,2,0.291
21,Trea Turner,PHI,134,550,594,158,106,29,2,21,89,75,36,1,114,5,3,0,21,3,0.287
22,Jackson Merrill,SDP,152,555,600,156,103,27,5,21,77,85,35,2,99,1,5,4,15,4,0.281
23,Marcus Semien,TEX,147,602,670,150,94,30,3,23,97,83,62,1,104,3,3,0,9,2,0.249
