#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,NSB,AVG,OBP,SLG,OPS,BABIP,K%,BB%,real_AB,real_PA,real_H,real_1B,real_2B,real_3B,real_HR,real_R,real_RBI,real_BB,real_IBB,real_SO,real_HBP,real_SF,real_SH,real_SB,real_CS,real_NSB,real_AVG,real_OBP,real_SLG,real_OPS,real_BABIP,real_K%,real_BB%,1B%,2B%,3B%,HR%,real_1B%,real_2B%,real_3B%,real_HR%,HIP,real_HIP
1,Ronald Acuna Jr.,ATL,157,188.6509573,222,57.54344624,32.04123711,11.11634757,0.653902798,13.73195876,45.11929308,37.2724595,28.44477172,1.307805596,36.9455081,3.59646539,1.307805596,0.0,16.34756996,3.269513991,13.07805596,0.305025996,0.40353461,0.589254766,0.992789376,0.314553991,16.64212077,12.81296024,192,222,48,35,8,1,4,38,15,27,0,53,3,0,0,16,3,13,0.25,0.351,0.365,0.716,0.326,23.9,12.2,0.7313432835309885,0.25373134329380226,0.014925373129558939,0.06185567009009,0.7954545454545454,0.18181818181818182,0.022727272727272728,0.018018018018018,43.811487480000004,44
2,Juan Soto,NYY,157,564.9396171,713,155.4108984,91.35640648,27.30191458,1.050073638,35.70250368,109.2076583,111.3078056,141.7599411,13.65095729,116.5581738,3.150220913,3.150220913,0.0,11.55081001,4.200294551,7.350515464,0.275092937,0.421207658,0.516728625,0.937936283,0.287878788,16.34756996,19.88217968,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,7,4,3,0.288,0.419,0.569,0.989,0.298,16.7,18.1,0.7631578945961494,0.22807017539462998,0.008771929825440733,0.0500736376998597,0.72,0.248,0.032,0.0575035063113604,119.70839472,125
3,Mookie Betts,LAD,157,436.9661267,516,121.5905744,69.15463918,26.59793814,1.51988218,24.31811487,88.91310751,79.79381443,68.39469809,2.27982327,80.55375552,6.079528719,3.799705449,0.0,9.879234168,2.27982327,7.599410898,0.27826087,0.380530973,0.513043478,0.893574452,0.28959276,15.61119293,13.25478645,450,516,130,82,24,5,19,75,75,61,2,57,1,4,0,16,2,14,0.289,0.372,0.491,0.863,0.294,11.0,11.8,0.7109374998241088,0.27343749986908555,0.015624999998393688,0.0471281295930232,0.7387387387387387,0.21621621621621623,0.04504504504504504,0.0368217054263565,97.27245952999999,111
4,Trea Turner,PHI,157,494.5463918,539,142.8865979,92.08247423,27.78350515,3.175257732,19.84536082,80.96907216,69.8556701,37.30927835,0.793814433,105.5773196,3.969072165,3.175257732,0.0,22.22680412,1.587628866,20.63917526,0.288924558,0.34167894,0.478330658,0.820009598,0.330490405,19.58762887,6.921944035,505,539,149,103,25,0,21,88,62,27,0,98,6,1,0,19,4,15,0.295,0.338,0.469,0.807,0.331,18.2,5.0,0.7483870970033326,0.22580645163649876,0.025806451620244062,0.0368188512430426,0.8046875,0.1953125,0.0,0.0389610389610389,123.04123708,128
5,Corbin Carroll,ARI,157,598.3740795,684,162.185567,101.7437408,29.21354934,10.0736377,21.15463918,105.7731959,93.68483063,64.4712813,2.014727541,147.0751105,14.10309278,3.022091311,4.029455081,42.30927835,5.036818851,37.2724595,0.271043771,0.354074074,0.45959596,0.813670034,0.325581395,21.50220913,9.42562592,589,684,136,78,22,14,22,121,74,73,0,130,10,9,3,35,8,27,0.231,0.322,0.428,0.749,0.256,19.0,10.7,0.7214285715389829,0.20714285718438807,0.07142857141844194,0.0309278350584795,0.6842105263157895,0.19298245614035087,0.12280701754385964,0.0321637426900584,141.03092782,114
6,Alex Bregman,HOU,157,538.7599411,634,143.7938144,88.70397644,30.81296024,1.867452135,21.47569956,88.70397644,85.90279823,83.10162003,1.867452135,79.36671576,7.469808542,4.668630339,0.0,1.867452135,0.933726068,0.933726068,0.266897747,0.369661267,0.448873484,0.81853475,0.276371308,12.51840943,13.10751105,581,634,151,93,30,2,26,79,75,44,1,86,5,4,0,3,1,2,0.26,0.315,0.453,0.768,0.264,13.6,6.9,0.7251908399343019,0.25190839705390605,0.01526717557283112,0.0338733431545741,0.744,0.24,0.016,0.0410094637223974,122.31811484,125
7,Austin Riley,ATL,157,416.5051546,469,117.4226804,69.07216495,22.79381443,1.381443299,24.17525773,69.07216495,73.90721649,39.37113402,2.072164948,111.8969072,7.597938144,4.835051546,0.0,1.381443299,0.690721649,0.690721649,0.281923715,0.351032448,0.517412935,0.868445384,0.326876513,23.85861561,8.394698085,425,469,109,62,26,2,19,63,56,37,0,118,5,2,0,0,0,0,0.256,0.322,0.461,0.783,0.31,25.2,7.9,0.7407407408400385,0.24444444443967814,0.01481481481680077,0.0515463917484008,0.6888888888888889,0.28888888888888886,0.022222222222222223,0.0405117270788912,93.24742267,90
8,Kyle Tucker,HOU,157,298.0603829,339,81.87923417,45.43298969,18.97201767,1.997054492,14.97790869,46.93078056,55.41826215,36.9455081,3.494845361,51.42415317,0.998527246,3.494845361,0.0,12.48159057,1.997054492,10.48453608,0.274706868,0.352941176,0.500837521,0.853778697,0.284501062,15.16936672,10.89837997,277,339,80,44,13,0,23,56,49,56,3,54,1,2,0,11,0,11,0.289,0.408,0.585,0.993,0.282,15.9,16.5,0.6791044775873998,0.2835820895009269,0.0298507462695491,0.0441826215044247,0.7719298245614035,0.22807017543859648,0.0,0.0678466076696165,66.90132548,57
9,Marcus Semien,TEX,157,643.9793814,718,170.2474227,103.628866,37.01030928,3.172312224,26.4359352,108.916053,95.16936672,67.67599411,1.057437408,113.1458027,3.172312224,3.172312224,0.0,11.63181149,2.114874816,9.516936672,0.264367816,0.335787923,0.454844007,0.79063193,0.283333333,15.75846834,9.42562592,650,718,154,102,27,2,23,101,74,64,2,105,3,1,0,8,3,5,0.237,0.308,0.391,0.699,0.25,14.6,8.9,0.7205882353452467,0.2573529411549964,0.02205882352757112,0.0368188512534818,0.7786259541984732,0.20610687022900764,0.015267175572519083,0.032033426183844,143.8114875,131
10,Freddie Freeman,LAD,157,555.3136966,638,166.3122239,102.4182622,37.58468336,1.879234168,24.43004418,104.2974963,90.20324006,70.4712813,10.33578792,102.4182622,8.456553756,3.758468336,0.0,13.15463918,0.939617084,12.21502209,0.299492386,0.384388807,0.505922166,0.890310973,0.32826087,16.05301915,11.04565538,542,638,153,94,35,2,22,81,89,78,9,100,10,8,0,9,2,7,0.282,0.378,0.476,0.854,0.306,15.7,12.2,0.7218543047627208,0.26490066218444197,0.013245033109222098,0.0382916052978056,0.7175572519083969,0.26717557251908397,0.015267175572519083,0.0344827586206896,141.88217971999998,131
