#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
1,Aaron Judge,NYY,159,559,686,158,80,28,0,50,110,134,118,15,178,5,4,0,9,1,0.282
2,Juan Soto,NYM,159,539,686,149,87,27,2,34,110,102,140,8,111,3,4,0,7,4,0.277
3,Shohei Ohtani,LAD,151,564,651,164,84,32,5,43,122,133,79,10,150,5,4,0,40,5,0.29
4,Bobby Witt Jr.,KCR,159,623,686,180,105,37,8,30,107,105,49,5,115,6,7,0,29,11,0.288
5,Gunnar Henderson,BAL,157,593,679,163,97,30,7,29,110,100,75,1,155,6,5,0,16,4,0.274
6,Francisco Lindor,NYM,159,607,686,158,95,31,3,28,101,97,63,2,130,10,5,1,22,4,0.26
7,Julio Rodríguez,SEA,157,622,679,174,116,28,2,28,96,95,47,3,162,8,2,0,28,7,0.281
8,Fernando Tatis Jr.,SDP,152,591,658,163,90,35,1,37,105,104,58,1,144,6,3,0,20,4,0.276
9,Mookie Betts,LAD,157,578,679,163,98,35,2,28,110,100,88,3,94,7,6,0,15,3,0.283
10,Yordan Alvarez,HOU,141,523,609,157,86,33,2,36,92,105,72,11,103,10,5,0,3,0,0.3
11,José Ramírez,CLE,156,597,672,161,90,38,3,30,98,103,65,17,81,3,7,0,28,5,0.27
12,Cal Raleigh,SEA,146,518,584,119,63,24,1,31,72,89,57,2,158,4,4,0,3,1,0.23
13,Ronald Acuña Jr.,ATL,128,471,553,139,84,26,2,26,106,78,70,2,104,9,3,0,36,8,0.294
14,Michael Harris II,ATL,146,586,630,172,112,33,4,22,88,84,34,2,126,7,3,0,17,6,0.294
15,Trea Turner,PHI,156,622,672,179,120,33,2,24,101,85,41,1,129,6,3,0,24,3,0.287
16,Corey Seager,TEX,126,482,546,136,81,26,1,28,74,83,55,9,93,5,4,0,1,1,0.281
17,Elly De La Cruz,CIN,154,598,665,157,91,32,9,25,104,88,61,2,198,4,1,1,54,13,0.263
18,Austin Riley,ATL,157,606,679,166,98,34,2,33,96,99,56,1,165,10,7,0,1,0,0.275
19,Jackson Merrill,SDP,154,615,665,173,114,30,6,23,85,94,39,2,110,1,6,4,17,4,0.281
20,Bryce Harper,PHI,154,568,665,162,90,41,0,31,96,98,87,12,146,4,5,1,9,4,0.284
21,Andrés Giménez,TOR,147,575,637,154,109,28,3,14,71,73,32,2,108,21,4,4,27,4,0.267
22,Vladimir Guerrero Jr.,TOR,157,597,679,174,108,35,0,31,93,101,72,8,96,6,3,0,4,2,0.291
23,Matt Chapman,SFG,157,595,679,143,81,34,2,26,91,77,72,2,177,8,5,0,10,2,0.241
24,Freddie Freeman,LAD,154,576,665,171,109,37,2,23,100,93,74,10,106,10,5,0,11,2,0.298
25,Gabriel Moreno,ARI,128,450,507,128,93,25,1,10,56,60,49,1,83,4,4,0,5,1,0.285
26,Riley Greene,DET,147,564,637,151,95,28,6,23,88,80,67,2,162,5,2,0,6,2,0.268
27,Adley Rutschman,BAL,146,513,586,134,86,29,1,17,70,71,65,3,92,3,5,0,2,0,0.26
28,Dansby Swanson,CHC,157,611,679,150,98,29,2,20,88,79,61,1,166,3,3,0,15,3,0.245
29,William Contreras,MIL,156,552,626,149,95,31,1,22,84,83,68,3,134,3,2,0,7,1,0.27
30,Carlos Correa,MIN,130,491,560,133,85,27,1,20,74,72,60,3,107,5,5,0,0,0,0.272
31,Brent Rooker,ATH,149,570,644,153,84,26,2,40,83,110,62,3,187,8,4,0,9,2,0.268
32,Wyatt Langford,TEX,143,551,616,149,88,31,5,24,88,90,57,2,123,5,3,0,20,4,0.27
33,Marcus Semien,TEX,154,598,665,149,93,30,3,23,96,82,62,1,103,3,3,0,9,2,0.249
34,Kyle Tucker,CHC,154,575,665,151,90,30,1,29,91,96,84,6,102,1,5,0,22,3,0.263
35,Willy Adames,SFG,156,601,672,148,86,36,1,24,81,86,65,2,155,2,4,0,14,3,0.246
36,Ketel Marte,ARI,147,558,637,151,89,32,3,27,89,91,67,4,115,6,7,0,7,1,0.27
37,Manny Machado,SDP,151,593,651,158,99,30,1,28,82,100,52,6,125,1,5,0,9,2,0.266
38,Patrick Bailey,SFG,128,455,506,107,72,21,1,12,55,53,43,0,122,2,5,1,4,0,0.235
39,Isaac Paredes,HOU,141,521,609,126,73,26,1,25,69,92,69,1,100,14,4,0,1,1,0.242
40,Steven Kwan,CLE,156,593,672,168,128,26,5,9,94,62,68,1,63,5,3,2,17,4,0.283
41,Jazz Chisholm Jr.,NYY,141,549,609,138,86,22,3,26,79,92,51,3,153,4,3,1,35,9,0.251
42,Mike Trout,LAA,120,443,518,115,61,22,3,29,75,80,65,6,139,8,2,0,8,2,0.259
43,Xander Bogaerts,SDP,149,579,644,152,108,27,1,15,75,69,52,1,115,6,7,0,13,2,0.262
44,Jordan Westburg,BAL,133,523,574,134,81,30,4,19,76,78,38,0,132,9,2,1,8,2,0.256
45,Will Smith,LAD,126,430,501,108,68,20,2,18,67,67,52,4,91,11,8,0,2,0,0.252
46,Nico Hoerner,CHC,130,510,560,140,103,26,3,8,71,54,37,2,61,10,3,0,25,5,0.275
47,Rafael Devers,BOS,157,599,679,161,88,37,3,33,96,103,70,13,148,7,4,0,3,1,0.269
48,Anthony Volpe,NYY,157,612,679,146,89,35,5,17,85,77,54,1,157,8,4,1,27,6,0.239
49,Zach Neto,LAA,130,497,560,125,74,29,1,21,71,76,38,1,126,19,2,3,23,7,0.252
50,Alex Bregman,BOS,157,599,679,151,95,30,2,24,87,89,67,1,88,8,5,0,2,1,0.252
51,Tommy Edman,LAD,141,556,609,141,94,30,3,14,83,69,42,1,107,5,4,3,26,3,0.254
52,Ian Happ,CHC,156,583,672,145,85,35,2,23,87,86,78,2,163,6,4,0,12,3,0.249
53,Bo Bichette,TOR,144,582,623,164,114,32,1,17,77,77,35,1,119,3,2,0,10,3,0.281
54,Mark Vientos,NYM,154,603,665,151,89,28,2,31,78,102,51,1,201,6,5,0,0,0,0.25
55,Jarren Duran,BOS,152,599,658,157,89,39,10,19,92,81,50,1,149,6,2,1,27,5,0.262
56,Ezequiel Tovar,COL,159,646,686,171,101,41,4,24,84,94,28,1,180,4,4,3,7,4,0.264
57,Alejandro Kirk,TOR,110,384,436,101,73,18,0,9,36,49,43,1,52,4,5,0,0,0,0.263
58,Matt McLain,CIN,138,524,595,133,78,30,4,21,78,83,59,1,164,10,2,0,19,7,0.254
59,Nolan Arenado,STL,152,598,658,158,104,32,1,20,69,87,48,3,96,6,7,0,2,2,0.264
60,Corbin Carroll,ARI,156,582,672,149,91,26,11,21,111,88,69,1,136,12,5,3,35,6,0.256
61,Brandon Nimmo,NYM,134,502,581,126,81,23,4,18,78,66,65,0,129,10,3,1,8,1,0.251
62,Byron Buxton,MIN,118,461,511,114,56,30,3,26,79,75,37,1,144,11,3,0,8,1,0.247
63,Matt Olson,ATL,159,594,686,150,81,35,1,34,89,106,81,6,160,6,5,0,1,0,0.252
64,Anthony Santander,TOR,156,602,672,150,78,34,1,37,85,105,58,2,138,7,5,0,2,1,0.25
65,Brenton Doyle,COL,154,608,665,154,100,25,5,23,87,87,42,1,189,5,6,4,27,5,0.252
66,Brandon Lowe,TBR,123,472,532,114,64,24,1,25,72,78,50,1,139,7,2,0,6,1,0.242
67,J.P. Crawford,SEA,141,527,609,127,87,27,1,12,76,56,70,0,121,7,3,1,4,1,0.242
68,Colton Cowser,BAL,130,489,560,123,78,24,2,19,81,74,58,2,164,9,4,0,8,3,0.252
69,Pete Crow-Armstrong,CHC,130,511,560,127,82,22,7,16,80,71,31,2,145,8,3,6,32,6,0.249
70,Lawrence Butler,ATH,149,586,644,147,90,30,4,24,86,84,52,1,162,1,5,0,20,2,0.25
71,James Wood,WSN,139,529,602,140,85,30,5,20,83,78,68,2,163,3,2,0,18,6,0.264
72,J.T. Realmuto,PHI,126,453,501,117,74,23,3,17,61,62,35,2,124,9,3,0,8,3,0.258
73,Luis Robert Jr.,CHW,151,600,651,149,89,33,0,27,83,87,39,4,185,9,3,0,25,5,0.248
74,Daulton Varsho,TOR,138,535,595,119,66,25,5,24,79,78,52,1,148,5,2,1,12,3,0.223
75,Oneil Cruz,PIT,146,568,630,144,84,30,4,26,86,86,56,4,180,3,3,0,21,3,0.253
76,Jacob Wilson,ATH,128,508,553,145,97,36,3,9,78,60,29,0,50,9,3,3,2,2,0.286
77,Jeremy Peña,HOU,157,625,679,161,114,28,2,16,82,74,36,1,129,11,4,2,16,5,0.257
78,Pete Alonso,NYM,154,576,665,140,79,27,1,34,85,103,70,7,153,14,5,0,4,0,0.244
79,Masyn Winn,STL,154,608,665,154,104,30,5,15,91,74,46,1,121,3,5,3,14,4,0.253
80,Gleyber Torres,DET,152,582,658,151,105,28,1,18,78,64,66,0,117,3,6,1,8,4,0.26
81,Christian Walker,HOU,149,564,644,131,72,27,1,30,80,97,64,3,152,9,7,0,5,1,0.232
82,Yainer Diaz,HOU,143,540,574,151,102,27,2,20,68,83,25,1,103,3,6,0,1,0,0.279
83,Ozzie Albies,ATL,152,601,658,157,96,34,4,23,89,92,43,1,106,6,8,0,13,3,0.261
84,Alec Bohm,PHI,143,561,616,159,107,35,2,16,71,83,43,1,94,5,7,0,4,2,0.284
85,Tyler O'Neill,BAL,110,418,476,104,60,18,1,26,70,70,48,2,146,6,3,0,6,1,0.249
86,Josh Lowe,TBR,125,490,539,128,80,29,2,17,65,67,45,3,161,1,3,0,27,1,0.261
87,Royce Lewis,MIN,133,522,574,129,76,27,1,24,78,87,45,1,139,3,4,0,7,3,0.246
88,Teoscar Hernández,LAD,151,595,651,158,99,29,1,30,83,106,46,2,186,7,3,0,10,3,0.267
89,Yandy Díaz,TBR,151,576,651,164,116,32,0,16,74,76,66,1,95,6,3,0,0,1,0.285
90,Zack Gelof,ATH,146,571,630,133,81,28,2,22,76,76,49,0,200,3,3,2,25,3,0.233
91,Francisco Alvarez,NYM,123,433,488,100,59,18,1,22,58,71,46,0,124,6,3,0,1,1,0.232
92,Lars Nootbaar,STL,125,460,539,112,66,25,3,18,71,62,71,2,110,1,6,1,8,2,0.244
93,Bryson Stott,PHI,139,542,602,140,100,25,3,12,71,64,50,1,105,3,6,0,26,3,0.257
94,Sean Murphy,ATL,92,319,365,75,43,17,1,15,40,49,35,1,87,9,2,0,0,0,0.236
95,Cody Bellinger,NYY,141,548,609,145,93,27,2,22,84,89,47,5,99,4,10,0,12,3,0.264
96,Jose Altuve,HOU,152,595,658,161,108,32,0,21,96,77,54,2,113,7,2,0,16,5,0.271
97,Brandon Marsh,PHI,125,476,539,119,77,23,5,15,63,67,54,1,166,3,5,1,16,3,0.25
98,Randy Arozarena,SEA,152,567,658,138,86,30,1,21,86,75,69,1,167,18,4,0,22,10,0.244
99,Jackson Chourio,MIL,149,595,644,160,104,31,3,21,85,90,42,3,134,3,3,1,29,9,0.268
