#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
1,Mason Miller,ATH,0,62,68.2,274,3,2,0,27,4,3,47,23,21,7,2,3,99,24,12.92,3.12,2.81,1.04,36.13138686131387,8.75912408759124
2,Cade Smith,CLE,0,66,67.2,275,4,2,0,1,21,2,53,25,23,5,1,3,88,22,11.64,2.9,3.0,1.1,32.0,8.0
3,Edwin Diaz,NYM,0,64,64.1,261,5,3,0,34,3,6,46,23,21,6,1,3,92,23,12.87,3.23,3.0,1.08,35.24904214559387,8.812260536398467
4,Emmanuel Clase,CLE,0,67,67.2,268,4,3,0,37,3,5,57,22,20,4,1,2,65,13,8.61,1.72,2.65,1.03,24.253731343283583,4.850746268656716
5,Ryan Helsley,STL,0,62,65.0,264,5,4,0,34,4,5,49,22,21,6,2,2,80,24,11.1,3.34,2.85,1.13,30.303030303030305,9.090909090909092
6,Ryan Walker,SFG,0,68,70.1,287,5,4,0,22,7,4,57,26,24,6,1,4,84,22,10.66,2.77,3.02,1.11,29.268292682926827,7.665505226480835
7,Matt Strahm,PHI,0,64,64.0,257,5,3,0,5,16,5,51,25,23,7,1,3,77,16,10.76,2.25,3.2,1.04,29.961089494163424,6.22568093385214
8,Jhoan Duran,MIN,0,63,62.1,255,5,4,0,28,6,4,51,21,20,5,2,4,76,19,10.99,2.81,2.86,1.13,29.80392156862745,7.450980392156863
9,Griffin Jax,MIN,0,65,66.0,266,5,4,0,7,17,5,54,25,23,6,1,3,77,18,10.52,2.41,3.15,1.09,28.947368421052634,6.7669172932330826
10,Felix Bautista,BAL,0,56,57.1,232,4,3,0,27,4,4,39,19,17,5,1,2,83,24,13.04,3.73,2.7,1.1,35.775862068965516,10.344827586206897
11,Orion Kerkering,PHI,0,59,61.0,250,4,3,0,6,14,2,51,22,20,5,0,4,71,18,10.44,2.7,3.01,1.13,28.4,7.199999999999999
12,Jeff Hoffman,TOR,0,63,62.2,255,3,3,0,25,7,3,49,23,22,7,1,3,78,21,11.17,3.07,3.11,1.12,30.58823529411765,8.235294117647058
13,Aaron Bummer,ATL,0,62,62.1,266,5,3,0,1,12,4,56,26,24,4,2,3,71,25,10.31,3.64,3.49,1.31,26.691729323308273,9.398496240601503
14,Brant Hurter,DET,3,41,62.1,259,4,3,1,0,4,1,60,28,26,5,1,3,53,15,7.61,2.19,3.71,1.21,20.463320463320464,5.7915057915057915
