#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Mason Miller,ATH,0,67,67,265,4,2,0,30,2,,44,22,20,6,,3,98,23,13.19,3.12,2.69,1.01
2,Jhoan Duran,MIN,0,65,65,265,7,3,0,22,5,,51,20,19,4,,4,81,20,11.21,2.81,2.57,1.09
3,Edwin Díaz,NYM,0,65,65,264,5,3,0,36,2,,45,23,21,6,,4,93,23,12.87,3.22,2.94,1.05
4,Félix Bautista,BAL,0,60,60,238,5,2,0,26,4,,41,19,18,6,,2,85,22,12.8,3.23,2.66,1.04
5,Emmanuel Clase,CLE,0,66,66,261,5,2,0,34,2,,55,21,19,5,,2,66,14,9.06,1.95,2.62,1.06
6,Ryan Helsley,STL,0,66,66,266,6,3,0,35,2,,49,23,21,6,,1,82,24,11.15,3.3,2.91,1.11
7,Josh Hader,HOU,0,68,68,276,6,4,0,33,2,,48,25,23,8,,3,96,26,12.73,3.46,3.1,1.08
8,Andrés Muñoz,SEA,0,64,64,261,6,3,0,26,4,,46,21,19,5,,4,85,25,11.94,3.46,2.73,1.1
9,Tanner Scott,LAD,0,66,66,274,6,3,0,25,8,,50,24,22,5,,3,82,29,11.14,4.01,3.03,1.21
10,Jeff Hoffman,TOR,0,65,65,263,4,2,0,26,4,,49,23,21,6,,3,80,22,11.05,3.01,2.97,1.09
11,Cade Smith,CLE,0,68,68,279,4,2,0,2,14,,52,25,23,6,,4,86,23,11.37,3.07,3.02,1.11
12,Devin Williams,NYY,0,63,63,257,5,3,0,31,3,,44,22,21,5,,3,84,28,11.96,4.03,2.94,1.15
13,Griffin Jax,MIN,0,70,70,285,5,3,0,8,11,,58,27,25,7,,3,83,20,10.64,2.53,3.2,1.11
14,Matt Strahm,PHI,0,67,67,269,5,3,0,3,12,,53,26,24,8,,4,79,17,10.6,2.33,3.26,1.05
15,Raisel Iglesias,ATL,0,68,68,276,5,3,0,32,1,,58,25,24,7,,2,76,17,10.09,2.25,3.14,1.1
16,Bryan Abreu,HOU,0,72,72,299,4,2,0,2,14,,55,27,25,7,,4,93,29,11.58,3.67,3.15,1.17
17,Justin Martinez,ARI,0,68,68,290,5,3,0,19,8,,52,26,23,4,,3,85,36,11.29,4.73,3.11,1.3
18,Ryan Walker,SFG,0,68,68,280,5,3,0,28,5,,55,25,23,6,,5,81,21,10.69,2.81,3.04,1.12
19,Aroldis Chapman,BOS,0,64,64,272,5,3,0,12,9,,46,25,23,6,,3,95,36,13.33,5.1,3.23,1.28
20,Chris Martin,TEX,0,58,58,238,4,2,0,18,6,,54,23,22,6,,3,58,11,9.01,1.64,3.36,1.11
21,Gregory Santos,SEA,0,62,62,263,3,2,0,5,13,,54,22,20,4,,4,67,20,9.75,2.93,2.95,1.2
22,Orion Kerkering,PHI,0,63,63,260,4,3,0,5,12,,51,24,22,5,,5,72,20,10.35,2.83,3.17,1.13
23,Aaron Bummer,ATL,0,61,61,260,5,2,0,1,14,,52,22,20,3,,3,71,24,10.43,3.6,3.02,1.26
24,Robert Garcia,TEX,0,64,64,268,5,3,0,8,10,,53,27,25,6,,2,74,23,10.45,3.23,3.45,1.19
25,Trevor Megill,MIL,0,64,64,268,3,2,0,28,2,,54,26,24,8,,2,78,23,10.97,3.19,3.43,1.2
26,A.J. Puk,ARI,0,65,65,270,5,3,0,16,8,,54,26,24,7,,4,79,23,10.93,3.14,3.26,1.17
27,Pete Fairbanks,TBR,0,60,60,249,4,3,0,22,7,,50,24,23,6,,2,68,23,10.13,3.4,3.39,1.21
28,Lucas Erceg,KCR,0,67,67,285,4,3,0,11,10,,57,28,26,5,,6,76,28,10.15,3.74,3.45,1.26
29,David Bednar,PIT,0,64,64,268,4,4,0,28,4,,56,28,26,7,,2,68,23,9.63,3.27,3.7,1.24
30,Ryan Pressly,CHC,0,61,61,254,3,3,0,25,5,,55,25,23,6,,2,63,18,9.32,2.69,3.38,1.2
31,Ben Joyce,LAA,0,63,63,266,3,3,0,25,5,,50,27,24,6,,5,76,28,10.85,4.05,3.47,1.24
32,Keegan Akin,BAL,0,70,70,287,3,3,0,2,16,,61,29,27,9,,2,79,19,10.22,2.48,3.42,1.14
33,Jeremiah Estrada,SDP,0,63,63,261,4,2,0,3,13,,47,25,23,7,,2,85,27,12.12,3.9,3.26,1.18
34,Blake Treinen,LAD,0,59,59,242,5,3,0,6,14,,50,24,22,6,,3,64,18,9.7,2.79,3.34,1.16
35,Jason Adam,SDP,0,68,68,277,5,3,0,3,12,,52,27,25,8,,6,79,24,10.39,3.13,3.34,1.11
36,Fernando Cruz,NYY,0,61,61,259,4,3,0,0,13,,47,24,22,6,,3,83,27,12.24,3.96,3.25,1.21
37,José Alvarado,PHI,0,60,60,252,4,2,0,3,10,,49,24,22,5,,2,69,27,10.42,4.02,3.31,1.26
38,Hunter Harvey,KCR,0,60,60,249,3,3,0,2,14,,53,26,24,6,,2,62,19,9.33,2.82,3.53,1.2
39,A.J. Minter,NYM,0,56,56,230,5,3,0,2,12,,46,23,21,6,,2,63,19,10.04,2.98,3.37,1.16
40,David Robertson,,0,65,65,273,4,3,0,0,0,,52,27,25,7,,3,80,27,11.02,3.69,3.49,1.22
41,Kevin Ginkel,ARI,0,62,62,258,5,3,0,3,14,,55,25,23,6,,2,66,20,9.59,2.85,3.31,1.2
42,Ian Hamilton,NYY,0,60,60,255,3,3,0,1,15,,51,25,23,6,,3,66,24,9.95,3.62,3.46,1.25
43,Garrett Whitlock,BOS,0,66,66,272,3,3,0,0,14,,62,29,27,8,,2,67,15,9.07,2.11,3.62,1.17
44,Carlos Estévez,KCR,0,64,64,267,5,3,0,21,6,,57,30,27,7,,2,63,22,8.81,3.14,3.86,1.24
45,Liam Hendriks,BOS,0,61,61,255,4,4,0,22,6,,55,28,26,9,,2,70,19,10.33,2.86,3.88,1.22
46,Pierce Johnson,ATL,0,64,64,273,5,4,0,2,12,,56,28,26,7,,2,78,27,10.96,3.77,3.6,1.29
47,Robert Suarez,SDP,0,65,65,268,5,4,0,28,4,,56,29,26,8,,2,65,22,9.03,3.06,3.66,1.2
