#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
1,Mason Miller,ATH,0,67,67,267,4,3,0,30,2,0,41,18,16,6,0,3,99,24,13.35,3.28,2.21,0.98,37.07865169,8.988764045
2,Jhoan Duran,MIN,0,65,65,265,3,3,0,22,5,0,49,20,18,4,0,3,82,22,11.3,3.05,2.5,1.09,30.94339623,8.301886792
3,Edwin Diaz,NYM,0,65,65,265,3,3,0,36,2,0,44,20,18,6,0,3,93,25,12.83,3.46,2.5,1.07,35.09433962,9.433962264
4,Emmanuel Clase,CLE,0,66,66,270,3,3,0,34,2,0,52,20,18,5,0,3,71,16,9.65,2.23,2.51,1.04,26.2962963,5.925925926
5,Griffin Jax,MIN,0,70,70,287,4,3,0,8,11,0,54,23,21,6,0,3,85,22,10.91,2.79,2.74,1.08,29.61672474,7.665505226
6,Andres Munoz,SEA,0,64,64,264,3,3,0,26,4,0,44,19,17,5,0,3,85,25,12.01,3.57,2.39,1.08,32.1969697,9.46969697
7,Felix Bautista,BAL,0,60,60,243,3,3,0,26,4,0,39,19,18,6,0,3,88,25,13.17,3.82,2.67,1.08,36.21399177,10.28806584
8,Cade Smith,CLE,0,68,68,280,4,3,0,2,14,0,51,23,21,6,0,3,85,25,11.28,3.3,2.78,1.11,30.35714286,8.928571429
9,Devin Williams,NYY,0,63,63,264,3,3,0,31,3,0,43,21,19,6,0,3,87,29,12.38,4.19,2.7,1.15,32.95454545,10.98484848
10,Orion Kerkering,PHI,0,63,63,259,3,3,0,5,12,0,50,22,20,5,0,3,75,20,10.69,2.8,2.81,1.11,28.95752896,7.722007722
11,Ryan Helsley,STL,0,66,66,271,3,3,0,35,2,0,49,23,21,6,0,3,81,26,11.09,3.51,2.9,1.13,29.88929889,9.594095941
12,Ryan Walker,SFG,0,68,68,280,4,3,0,28,5,0,56,26,24,6,0,3,77,23,10.2,3.1,3.11,1.17,27.5,8.214285714
13,Josh Hader,HOU,0,68,68,279,4,3,0,33,2,0,46,25,23,8,0,3,94,28,12.39,3.74,2.98,1.1,33.69175627,10.03584229
14,Tanner Scott,LAD,0,66,66,275,3,3,0,21,9,0,49,24,22,6,0,3,80,30,10.91,4.11,3.02,1.2,29.09090909,10.90909091
15,Jeff Hoffman,TOR,0,65,65,269,3,3,0,26,4,0,48,23,21,7,0,3,79,24,11,3.32,2.97,1.11,29.36802974,8.921933086
16,Matt Strahm,PHI,0,67,67,272,4,3,0,3,12,0,53,27,24,9,0,3,79,19,10.58,2.58,3.28,1.08,29.04411765,6.985294118
17,Bryan Abreu,HOU,0,72,72,299,4,4,0,2,14,0,54,27,25,8,0,3,92,30,11.45,3.77,3.14,1.17,30.76923077,10.03344482
