#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Mason Miller,ATH,0,67,67,267,4,3,0,30,2,,45,21,19,6,2,3,99,23,13.3,3.15,2.58,1.01
2,Jhoan Duran,MIN,0,65,65,265,4,3,0,22,5,,52,22,20,5,2,3,81,21,11.22,2.96,2.78,1.12
3,Félix Bautista,BAL,0,60,60,243,4,2,0,26,4,,42,20,18,6,1,2,88,23,13.14,3.39,2.75,1.07
4,Edwin Díaz,NYM,0,65,65,265,4,3,0,36,2,,46,23,21,6,1,3,90,24,12.48,3.34,2.94,1.09
5,Ryan Helsley,STL,0,66,66,270,4,3,0,35,2,,50,24,22,7,2,2,83,25,11.36,3.39,3.05,1.14
6,Matt Strahm,PHI,0,67,67,272,4,3,0,3,12,,54,26,25,8,2,3,79,19,10.66,2.54,3.29,1.09
7,Josh Hader,HOU,0,68,68,279,4,3,0,33,2,,49,26,24,8,1,3,94,27,12.47,3.61,3.17,1.12
8,Griffin Jax,MIN,0,70,70,287,4,3,0,8,11,,59,27,25,7,2,3,82,20,10.56,2.6,3.2,1.13
9,Emmanuel Clase,CLE,0,66,66,270,4,3,0,34,2,,61,25,23,5,2,2,68,16,9.24,2.13,3.09,1.15
10,Cade Smith,CLE,0,68,68,280,4,3,0,2,14,,54,26,23,7,1,3,85,23,11.3,3.09,3.11,1.13
11,Jeff Hoffman,TOR,0,65,65,268,4,3,0,26,4,,52,26,24,7,2,3,79,22,10.97,3.06,3.27,1.14
12,Andrés Muñoz,SEA,0,64,64,263,4,3,0,26,4,,48,22,20,5,2,3,83,25,11.69,3.51,2.83,1.14
13,Tanner Scott,LAD,0,66,66,275,4,3,0,25,8,,52,25,23,6,2,3,83,30,11.25,4.04,3.13,1.23
14,Aroldis Chapman,BOS,0,64,64,268,4,3,0,12,9,,45,24,22,6,1,3,91,35,12.8,4.94,3.13,1.26
15,Bryan Abreu,HOU,0,72,72,299,4,3,0,2,14,,56,29,26,7,1,4,91,29,11.42,3.59,3.31,1.18
16,Orion Kerkering,PHI,0,63,63,259,4,3,0,5,12,,52,25,22,6,1,3,72,21,10.34,3.06,3.2,1.16
17,Garrett Whitlock,BOS,0,66,66,273,3,3,0,0,14,,62,29,27,8,1,3,68,16,9.23,2.17,3.63,1.18
18,Keegan Akin,BAL,0,70,70,289,4,3,0,2,16,,61,28,26,9,2,2,78,21,10.02,2.64,3.37,1.16
19,Lucas Erceg,KCR,0,67,67,282,4,3,0,11,10,,57,28,25,6,2,4,77,26,10.29,3.48,3.4,1.24
