#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Cade Smith,CLE,0,66,82,336,2,2,0,1,14,,60,29,27,6,2,4,106,29,11.65,3.23,2.96,1.09
2,Emmanuel Clase,CLE,0,67,83.2,332,3,2,0,37,2,,70,27,25,4,2,3,71,15,7.65,1.57,2.72,1.01
3,Mason Miller,ATH,0,62,77,308,3,2,0,27,2,,51,27,25,8,2,4,108,26,12.63,3.09,2.9,1
4,Edwin Díaz,NYM,0,64,79.2,324,3,1,0,34,2,,56,31,29,9,1,5,115,28,13,3.18,3.28,1.06
5,Ryan Walker,SFG,0,68,84.2,351,3,2,0,22,5,,71,34,32,7,2,4,98,27,10.41,2.85,3.41,1.16
6,Aaron Bummer,ATL,0,62,77.2,325,3,1,0,1,14,,67,28,26,3,2,4,87,30,10.07,3.51,3.05,1.25
7,Orion Kerkering,PHI,0,59,73.2,301,2,1,0,6,12,,61,27,26,5,1,4,80,21,9.84,2.56,3.12,1.11
8,Andrés Muñoz,SEA,0,59,74.1,300,2,1,0,27,4,,53,25,24,6,2,4,89,26,10.78,3.1,2.85,1.06
9,Félix Bautista,BAL,0,56,69.2,286,3,2,0,27,4,,46,25,23,7,2,4,100,32,12.98,4.08,3.02,1.11
10,Matt Strahm,PHI,0,64,79,321,3,1,0,5,12,,62,32,29,9,1,4,95,21,10.85,2.43,3.35,1.05
11,A.J. Puk,ARI,0,63,78.2,327,3,2,0,12,8,,66,33,31,8,2,4,92,25,10.56,2.91,3.51,1.16
12,Ryan Helsley,STL,0,62,78,322,3,2,0,34,2,,60,31,29,7,2,3,90,29,10.37,3.38,3.34,1.15
13,Jhoan Duran,MIN,0,63,78,325,3,2,0,28,5,,66,31,29,6,2,4,87,26,9.98,3.02,3.32,1.18
14,A.J. Minter,NYM,0,55,68.2,280,2,1,0,2,12,,55,27,26,7,1,2,77,21,10.07,2.77,3.35,1.1
15,Porter Hodge,CHC,0,59,74,308,3,1,0,10,10,,55,28,26,5,2,5,84,32,10.24,3.88,3.17,1.18
16,Griffin Jax,MIN,0,65,80.1,333,3,2,0,7,11,,67,34,31,8,2,4,90,25,10.12,2.77,3.51,1.15
17,Devin Williams,NYY,0,58,72,299,2,1,0,31,3,,51,27,25,7,1,4,99,33,12.39,4.14,3.18,1.18
18,Camilo Doval,SFG,0,64,80.1,339,3,2,0,10,12,,66,33,31,5,2,5,88,34,9.88,3.8,3.43,1.24
