#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Jhoan Duran,MIN,0,65,65,265,10,3,,22,5,,50,18,17,3,,4,81,19,11.21,2.66,2.36,1.07
2,Emmanuel Clase,CLE,0,66,66,253,6,1,,34,2,,50,17,16,4,,1,65,13,8.87,1.77,2.15,0.96
3,Edwin Díaz,NYM,0,65,65,262,7,4,,36,2,,44,22,21,6,,5,96,22,13.25,3.11,2.95,1.02
4,Mason Miller,ATH,0,67,67,264,3,1,,30,2,,44,23,21,6,,3,97,23,13.08,3.09,2.81,1
5,Devin Williams,NYY,0,63,63,250,7,3,,31,3,,40,20,18,4,,3,87,28,12.39,4.06,2.64,1.08
6,Andrés Muñoz,SEA,0,64,64,259,8,3,,26,4,,44,20,19,4,,4,87,24,12.2,3.4,2.62,1.06
7,Tanner Scott,LAD,0,66,66,274,9,4,,25,8,,49,23,21,4,,3,81,29,11.03,3.99,2.92,1.18
8,Félix Bautista,BAL,0,60,60,232,6,2,,26,4,,40,18,17,6,,1,83,20,12.47,3.07,2.56,1.01
9,Ryan Helsley,STL,0,66,66,262,7,3,,35,2,,48,22,20,5,,0,80,24,10.94,3.21,2.77,1.09
10,Cade Smith,CLE,0,68,68,279,5,2,,2,14,,50,24,22,5,,5,86,23,11.43,3.06,2.92,1.08
11,Jeff Hoffman,TOR,0,65,65,257,4,2,,26,4,,46,20,19,5,,3,80,21,11.12,2.97,2.67,1.04
12,Josh Hader,HOU,0,68,68,272,9,4,,33,2,,46,25,23,8,,3,98,25,13,3.32,3.03,1.04
13,Gregory Santos,SEA,0,62,62,265,2,1,,5,13,,54,19,18,2,,4,69,18,10.07,2.56,2.56,1.15
14,Raisel Iglesias,ATL,0,68,68,271,6,4,,32,1,,56,23,21,7,,2,77,15,10.21,2.04,2.83,1.05
15,Aaron Bummer,ATL,0,61,61,265,6,2,,1,14,,52,21,20,2,,4,73,25,10.79,3.66,2.96,1.26
16,Ryan Walker,SFG,0,68,68,280,7,4,,28,5,,54,25,23,6,,6,81,21,10.73,2.78,3.03,1.11
17,Griffin Jax,MIN,0,70,70,283,7,4,,8,11,,57,27,25,8,,3,83,19,10.73,2.47,3.21,1.08
18,Chris Martin,TEX,0,58,58,239,4,1,,18,6,,55,23,22,5,,3,56,10,8.72,1.49,3.4,1.11
19,Justin Martinez,ARI,0,68,68,293,5,3,,19,8,,51,25,23,4,,4,86,37,11.35,4.9,3.11,1.3
20,Robert Garcia,TEX,0,64,64,268,6,4,,8,10,,52,27,25,6,,2,76,23,10.73,3.18,3.52,1.17
21,Orion Kerkering,PHI,0,63,63,262,5,3,,5,12,,51,24,22,5,,6,73,18,10.36,2.59,3.14,1.09
22,Bryan Abreu,HOU,0,72,72,298,4,1,,2,14,,53,26,24,7,,4,94,30,11.75,3.75,3,1.15
23,Aroldis Chapman,BOS,0,64,64,276,6,4,,12,9,,46,26,24,6,,2,99,37,13.86,5.26,3.33,1.31
24,Matt Strahm,PHI,0,67,67,265,6,3,,3,12,,52,26,24,8,,4,79,16,10.55,2.11,3.23,1.02
25,Trevor Megill,MIL,0,64,64,272,3,2,,28,2,,56,26,24,8,,2,77,23,10.85,3.19,3.4,1.23
26,A.J. Puk,ARI,0,65,65,271,7,4,,16,8,,52,25,23,7,,4,82,23,11.37,3.15,3.15,1.16
27,Pete Fairbanks,TBR,0,60,60,249,5,3,,22,7,,50,24,23,5,,1,66,23,9.93,3.38,3.38,1.21
28,Blake Treinen,LAD,0,59,59,237,8,4,,6,14,,47,22,21,5,,3,63,18,9.59,2.74,3.13,1.11
29,Ryan Pressly,CHC,0,61,61,254,4,2,,25,5,,55,25,23,6,,1,62,18,9.18,2.65,3.35,1.2
30,Fernando Cruz,NYY,0,61,61,263,5,3,,0,13,,47,23,21,5,,3,85,29,12.57,4.24,3.14,1.24
31,David Bednar,PIT,0,64,64,266,5,4,,28,4,,55,28,26,6,,2,68,22,9.6,3.15,3.6,1.22
32,Jeremiah Estrada,SDP,0,63,63,262,5,2,,3,13,,47,25,23,7,,1,87,27,12.45,3.86,3.26,1.17
33,Jason Foley,DET,0,63,63,265,4,3,,12,8,,60,26,24,4,,2,49,17,7.05,2.5,3.38,1.22
34,Keegan Akin,BAL,0,70,70,285,3,2,,2,16,,61,29,27,9,,1,81,18,10.41,2.31,3.47,1.13
35,Dylan Floro,,0,64,64,271,6,5,,0,0,,63,26,24,3,,1,49,18,6.83,2.54,3.33,1.27
36,Ian Hamilton,NYY,0,60,60,255,4,3,,1,15,,49,24,23,5,,3,68,25,10.19,3.77,3.4,1.24
37,Carlos Estévez,KCR,0,64,64,262,6,4,,21,6,,54,28,26,6,,1,62,22,8.78,3.1,3.61,1.19
38,José Alvarado,PHI,0,60,60,252,4,2,,3,10,,49,24,22,4,,1,69,26,10.32,3.97,3.33,1.25
39,Ben Joyce,LAA,0,63,63,268,2,2,,25,5,,50,27,25,6,,7,73,27,10.42,3.91,3.58,1.23
40,Lucas Erceg,KCR,0,67,67,289,5,4,,11,10,,56,29,26,5,,7,74,30,10,4,3.5,1.28
41,Alexis Díaz,CIN,0,65,65,267,5,4,,28,3,,48,30,28,5,,6,68,31,9.4,4.26,3.82,1.21
42,Dylan Lee,ATL,0,62,62,252,4,2,,0,13,,53,24,21,7,,0,74,16,10.71,2.33,3.1,1.12
43,Dennis Santana,PIT,0,66,66,278,3,2,,2,12,,58,30,28,5,,3,64,26,8.75,3.5,3.79,1.26
44,Anthony Bender,MIA,0,60,60,255,4,4,,5,12,,53,27,25,5,,5,64,22,9.65,3.33,3.68,1.25
45,Brock Burke,LAA,0,66,66,280,3,3,,3,13,,61,29,27,7,,2,66,22,9,3,3.71,1.25
46,Tyler Holton,DET,0,72,72,284,4,3,,6,13,,60,28,26,7,,3,62,17,7.78,2.16,3.24,1.07
47,Will Vest,DET,0,68,68,285,3,3,,2,12,,61,28,26,5,,2,65,21,8.58,2.81,3.38,1.2
48,A.J. Minter,NYM,0,56,56,227,6,3,,2,12,,46,23,21,6,,1,61,18,9.85,2.89,3.4,1.15
49,Kevin Ginkel,ARI,0,62,62,257,6,3,,3,14,,54,23,21,6,,2,65,19,9.47,2.83,3.11,1.18
50,Hunter Harvey,KCR,0,60,60,248,3,3,,2,14,,53,25,23,6,,2,60,18,9,2.77,3.46,1.19
51,Camilo Doval,SFG,0,62,62,265,6,4,,10,12,,49,26,24,5,,4,76,31,11.08,4.43,3.46,1.28
52,Luke Weaver,NYY,0,68,68,286,3,3,,6,13,,61,33,31,9,,2,72,22,9.57,2.9,4.09,1.22
53,David Robertson,,0,65,65,273,4,3,,0,0,,52,29,27,7,,3,79,28,10.96,3.86,3.7,1.23
54,Jordan Romano,PHI,0,59,59,246,6,4,,23,4,,51,27,25,7,,2,66,21,10,3.21,3.77,1.22
55,Brock Stewart,MIN,0,56,56,234,2,0,,1,9,,44,21,19,4,,2,73,23,11.67,3.67,3,1.19
