#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
1,Paul Skenes,PIT,29,29,176,703,12,7,15,0,0,0,136,59,54,14,1,7,220,48,11.24,2.46,2.76,1.05,31.29445235,6.827880512
2,Tarik Skubal,DET,30,30,183.2,726,14,7,16,0,0,0,146,64,59,17,1,7,214,39,10.46,1.9,2.88,1,29.47658402,5.371900826
3,Zack Wheeler,PHI,30,30,191.2,772,14,8,18,0,0,0,158,76,70,21,1,8,205,48,9.63,2.26,3.28,1.08,26.55440415,6.21761658
4,Logan Webb,SFG,31,31,196.2,811,13,10,17,0,0,0,188,82,75,15,1,6,168,45,7.71,2.05,3.44,1.18,20.71516646,5.548705302
5,Garrett Crochet,BOS,29,31,157,632,11,8,12,0,0,1,124,61,56,16,2,6,205,45,11.74,2.58,3.21,1.08,32.43670886,7.120253165
6,Cole Ragans,KCR,30,30,177.2,736,12,9,15,0,0,0,148,75,69,18,3,6,203,65,10.3,3.31,3.5,1.2,27.58152174,8.831521739
7,Chris Sale,ATL,26,26,155.2,629,12,6,13,0,0,0,128,59,54,16,1,8,188,40,10.85,2.32,3.14,1.08,29.88871224,6.359300477
8,Framber Valdez,HOU,29,29,186,771,14,8,16,0,0,0,162,75,69,16,1,9,183,58,8.84,2.79,3.33,1.18,23.73540856,7.522697795
9,George Kirby,SEA,30,30,180.2,726,12,9,15,0,0,0,169,77,71,22,1,7,170,25,8.44,1.23,3.51,1.07,23.41597796,3.443526171
10,Dylan Cease,SDP,31,31,183.1,754,12,9,14,0,0,0,147,78,72,21,1,6,216,68,10.59,3.34,3.53,1.17,28.64721485,9.018567639
11,Pablo Lopez,MIN,31,31,186.2,767,12,10,15,0,0,0,170,84,77,23,1,8,197,45,9.51,2.19,3.72,1.16,25.68448501,5.867014342
12,Sonny Gray,STL,28,28,167.2,685,11,8,13,0,0,0,145,71,65,18,1,6,180,46,9.68,2.49,3.49,1.14,26.27737226,6.715328467
13,Logan Gilbert,SEA,31,31,194.2,776,12,9,16,0,0,0,162,80,74,25,2,5,201,39,9.27,1.82,3.4,1.03,25.90206186,5.025773196
14,Jacob deGrom,TEX,20,20,113.2,448,7,4,10,0,0,0,89,42,38,13,0,4,142,25,11.28,2,3.03,1,31.69642857,5.580357143
15,Corbin Burnes,ARI,30,30,185.2,765,12,9,16,0,0,0,165,81,74,20,1,7,183,53,8.89,2.57,3.61,1.17,23.92156863,6.928104575
16,Justin Steele,CHC,29,29,168.1,695,11,8,13,0,0,0,152,71,65,17,1,6,164,46,8.76,2.47,3.48,1.18,23.5971223,6.618705036
17,Yoshinobu Yamamoto,LAD,26,26,152,617,11,6,12,0,0,0,131,63,58,16,1,5,161,39,9.55,2.32,3.44,1.12,26.09400324,6.320907618
18,Joe Ryan,MIN,28,28,163.2,661,10,9,13,0,0,0,142,75,69,25,1,7,180,35,9.9,1.95,3.81,1.08,27.23146747,5.295007564
19,Blake Snell,LAD,28,28,158,649,11,6,13,0,0,0,116,64,59,18,1,4,205,69,11.66,3.92,3.35,1.17,31.58705701,10.63174114
20,Cristopher Sanchez,PHI,29,29,168,699,10,8,13,0,0,0,160,72,67,16,3,5,145,45,7.79,2.39,3.57,1.22,20.74391989,6.43776824
21,Michael King,SDP,29,30,170,707,12,9,12,0,0,1,146,73,67,19,3,7,187,59,9.88,3.12,3.56,1.2,26.44978784,8.345120226
22,Tyler Glasnow,LAD,22,22,134.1,538,9,6,11,0,0,0,105,55,51,16,1,3,166,40,11.14,2.66,3.41,1.08,30.85501859,7.434944238
23,Max Fried,NYY,28,28,167.1,690,12,8,14,0,0,0,148,68,62,16,1,6,159,48,8.54,2.6,3.34,1.18,23.04347826,6.956521739
24,Tanner Bibee,CLE,29,29,170.2,701,11,9,12,0,0,0,151,76,70,23,1,7,180,46,9.49,2.4,3.71,1.15,25.67760342,6.562054208
25,Aaron Nola,PHI,30,30,185.2,762,12,9,15,0,0,0,172,87,80,27,1,5,184,45,8.91,2.16,3.88,1.17,24.14698163,5.905511811
26,Spencer Schwellenbach,ATL,28,28,164,671,12,8,12,0,0,0,150,73,67,19,1,7,160,37,8.8,2.02,3.7,1.14,23.84500745,5.514157973
27,Hunter Brown,HOU,29,29,167.1,703,12,9,14,0,0,0,151,76,70,19,1,6,178,58,9.57,3.12,3.76,1.25,25.3200569,8.250355619
28,Kevin Gausman,TOR,30,30,183,762,12,10,15,0,0,0,173,86,79,23,1,4,184,52,9.05,2.58,3.88,1.23,24.14698163,6.824146982
29,Gerrit Cole,NYY,29,29,174,712,12,8,14,0,0,0,152,79,73,25,1,6,181,48,9.34,2.47,3.75,1.14,25.42134831,6.741573034
30,Luis Castillo,SEA,30,30,182.1,747,12,10,14,0,0,0,159,81,74,24,2,6,183,51,9.04,2.51,3.67,1.15,24.49799197,6.827309237
31,Freddy Peralta,MIL,29,29,168.1,696,11,9,12,0,0,0,139,77,71,23,1,8,193,60,10.31,3.23,3.8,1.18,27.72988506,8.620689655
32,Hunter Greene,CIN,25,25,151.2,630,9,8,11,0,0,0,124,72,66,22,1,11,179,54,10.62,3.23,3.92,1.18,28.41269841,8.571428571
33,Seth Lugo,KCR,30,30,183.1,766,12,10,15,0,0,1,178,88,81,22,2,7,162,48,7.95,2.35,3.96,1.23,21.14882507,6.266318538
34,Zach Eflin,BAL,29,29,171.1,701,11,9,13,0,0,0,169,80,73,23,1,5,145,28,7.62,1.49,3.86,1.15,20.68473609,3.994293866
35,Zac Gallen,ARI,29,29,171.2,714,13,8,13,0,0,0,156,79,73,19,1,6,173,52,9.05,2.74,3.82,1.21,24.22969188,7.282913165
36,Shota Imanaga,CHC,28,28,172.1,699,12,7,13,0,0,0,155,76,70,26,1,5,172,37,8.98,1.93,3.63,1.12,24.60658083,5.293276109
37,Tanner Houck,BOS,28,33,171.2,724,10,9,12,0,0,0,162,81,74,16,3,11,151,51,7.94,2.67,3.89,1.24,20.85635359,7.044198895
38,Yusei Kikuchi,LAA,30,30,170.2,709,10,10,12,0,0,0,155,81,74,26,1,5,190,51,10.04,2.7,3.91,1.21,26.79830748,7.193229901
39,Spencer Strider,ATL,20,20,114.1,465,9,5,9,0,0,0,89,48,44,13,1,4,153,39,12.02,3.08,3.47,1.13,32.90322581,8.387096774
40,Sandy Alcantara,MIA,24,24,153,636,8,8,11,0,0,0,146,69,64,16,1,6,134,39,7.86,2.29,3.74,1.21,21.06918239,6.132075472
41,Ranger Suarez,PHI,27,32,157.1,660,10,8,11,0,0,0,148,70,65,16,1,5,142,49,8.15,2.81,3.7,1.25,21.51515152,7.424242424
42,Bailey Ober,MIN,29,29,171.2,697,11,9,13,0,0,0,150,82,75,26,1,6,177,41,9.29,2.14,3.94,1.11,25.39454806,5.882352941
43,Reynaldo Lopez,ATL,27,30,155.1,644,10,7,11,0,1,2,135,68,62,18,2,5,166,51,9.61,2.98,3.61,1.2,25.77639752,7.919254658
44,Roki Sasaki,LAD,22,23,131.1,538,8,5,11,0,0,0,107,56,52,15,1,6,154,43,10.55,2.96,3.53,1.15,28.62453532,7.992565056
45,Shane McClanahan,TBR,24,27,140,573,10,7,11,0,0,0,118,58,54,17,1,4,153,43,9.82,2.78,3.44,1.15,26.70157068,7.504363002
46,Grayson Rodriguez,BAL,27,27,158,656,11,8,12,0,0,0,140,71,65,20,1,6,171,51,9.72,2.88,3.72,1.21,26.06707317,7.774390244
47,Erick Fedde,STL,30,30,172.2,727,10,11,11,0,0,0,166,85,78,22,1,6,151,53,7.86,2.75,4.08,1.27,20.77028886,7.290233838
48,Jared Jones,PIT,28,32,162,677,9,10,12,0,0,0,144,77,71,21,1,8,168,53,9.35,2.97,3.93,1.22,24.81536189,7.828655835
49,Nathan Eovaldi,TEX,26,26,158,652,10,8,13,0,0,0,144,74,68,21,1,6,153,42,8.7,2.38,3.85,1.18,23.46625767,6.441717791
50,MacKenzie Gore,WSN,30,30,166.1,704,10,10,11,0,0,0,150,78,72,20,1,7,179,63,9.67,3.4,3.9,1.28,25.42613636,8.948863636
51,Mitch Keller,PIT,30,30,179.2,764,10,11,13,0,0,0,176,92,85,22,1,11,166,54,8.3,2.71,4.25,1.28,21.72774869,7.068062827
52,Kodai Senga,NYM,26,30,149.2,635,11,7,11,0,0,0,125,67,62,18,1,8,165,65,9.94,3.93,3.72,1.27,25.98425197,10.23622047
53,Michael Wacha,KCR,28,28,162.2,681,11,9,11,0,0,0,155,80,73,22,1,6,142,47,7.87,2.6,4.06,1.24,20.85168869,6.901615272
54,Brady Singer,CIN,29,29,171,729,9,10,12,0,0,0,172,90,82,25,1,9,160,50,8.4,2.6,4.34,1.29,21.9478738,6.858710562
55,Jack Flaherty,DET,26,27,144.2,606,10,8,11,0,0,0,132,68,63,19,1,7,158,46,9.83,2.86,3.9,1.23,26.07260726,7.590759076
56,Taj Bradley,TBR,29,29,162.1,673,10,10,12,0,0,0,144,76,70,24,2,5,176,52,9.75,2.9,3.89,1.21,26.15156018,7.726597325
57,Nick Lodolo,CIN,23,23,129.2,547,8,8,9,0,0,0,118,62,57,17,1,12,141,40,9.77,2.79,3.95,1.22,25.77696527,7.31261426
58,Brayan Bello,BOS,29,29,165,706,12,10,11,0,0,0,161,81,75,18,1,8,152,58,8.28,3.14,4.08,1.32,21.52974504,8.21529745
59,Reese Olson,DET,27,27,145.2,610,8,9,11,0,0,0,134,69,63,16,2,5,136,46,8.41,2.86,3.9,1.24,22.29508197,7.540983607
60,Chris Bassitt,TOR,30,30,176.2,751,11,11,13,0,0,0,167,87,80,22,1,11,164,59,8.34,3.02,4.09,1.28,21.83754993,7.856191744
61,Sean Manaea,NYM,29,30,169.1,707,10,8,12,0,0,0,149,84,77,23,1,8,171,58,9.11,3.06,4.09,1.22,24.18670438,8.203677511
