#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Tarik Skubal,DET,32,32,198,789,14,9,22,0,0,,160,68,62,18,,7,229,42,10.41,1.93,2.83,1.02
2,Paul Skenes,PIT,31,31,174,701,11,7,20,0,0,,139,64,58,16,,6,214,50,11.07,2.57,3,1.08
3,Zack Wheeler,PHI,32,32,202,821,14,9,20,0,0,,171,80,74,21,,8,214,53,9.53,2.36,3.3,1.11
4,Chris Sale,ATL,31,31,182,744,14,7,20,0,0,,152,67,61,18,,10,224,47,11.07,2.3,3.03,1.09
5,Garrett Crochet,BOS,31,31,157,639,13,7,19,0,0,,126,57,52,14,,5,200,49,11.49,2.8,2.99,1.12
6,Jacob deGrom,TEX,26,26,132,517,9,4,16,0,0,,100,47,44,16,,4,177,27,12.12,1.84,2.97,0.96
7,Logan Webb,SFG,32,32,201,831,13,10,20,0,0,,194,82,74,16,,6,171,44,7.68,1.98,3.32,1.19
8,Corbin Burnes,ARI,31,31,188,774,13,8,19,0,0,,167,76,70,18,,7,188,53,9,2.53,3.33,1.17
9,Dylan Cease,SDP,32,32,185,766,13,10,19,0,0,,150,77,71,21,,6,218,69,10.64,3.37,3.46,1.19
10,Cole Ragans,KCR,31,31,179,749,12,9,18,0,0,,153,75,70,19,,6,201,67,10.12,3.37,3.5,1.23
11,Sonny Gray,STL,31,31,181,744,13,9,18,0,0,,158,75,69,20,,6,191,50,9.5,2.48,3.41,1.15
12,Pablo López,MIN,32,32,192,793,13,10,18,0,0,,175,85,79,24,,9,201,47,9.43,2.23,3.69,1.16
13,Yoshinobu Yamamoto,LAD,28,28,163,652,12,7,16,0,0,,136,68,62,19,,4,169,39,9.36,2.18,3.45,1.08
14,Aaron Nola,PHI,31,31,188,775,12,10,17,0,0,,176,86,80,25,,6,185,43,8.86,2.06,3.84,1.16
15,Logan Gilbert,SEA,32,32,196,793,12,10,19,0,0,,171,80,73,24,,5,202,44,9.24,2,3.36,1.09
16,George Kirby,SEA,31,31,179,729,12,10,18,0,0,,168,74,68,21,,7,169,27,8.48,1.33,3.42,1.09
17,Tyler Glasnow,LAD,24,24,140,562,10,6,14,0,0,,112,56,52,17,,2,173,40,11.12,2.55,3.32,1.08
18,Blake Snell,LAD,29,29,160,666,11,7,17,0,0,,123,66,61,18,,4,209,70,11.8,3.96,3.45,1.21
19,Max Fried,NYY,29,29,174,722,12,9,17,0,0,,158,72,66,17,,6,162,50,8.34,2.58,3.42,1.19
20,Roki Sasaki,LAD,24,24,139,567,10,6,15,0,0,,110,55,51,16,,7,179,44,11.63,2.83,3.3,1.11
21,Michael King,SDP,31,31,178,748,13,9,18,0,0,,154,74,69,20,,7,193,63,9.75,3.19,3.46,1.22
22,Sandy Alcantara,MIA,28,28,179,742,10,9,16,0,0,,171,79,73,18,,7,157,43,7.89,2.16,3.64,1.19
23,Framber Valdez,HOU,29,29,181,753,13,9,18,0,0,,163,74,67,16,,9,171,59,8.48,2.91,3.35,1.22
24,Shane McClanahan,TBR,26,34,159,644,11,8,15,0,1,,135,63,58,18,,3,174,44,9.83,2.46,3.28,1.12
25,Cristopher Sánchez,PHI,29,29,171,714,11,9,16,0,0,,166,77,70,18,,6,147,46,7.74,2.44,3.68,1.24
26,Kevin Gausman,TOR,32,32,192,806,13,11,18,0,0,,182,87,81,24,,4,189,54,8.86,2.52,3.78,1.23
27,Reynaldo López,ATL,31,31,173,717,11,7,18,0,0,,152,73,68,19,,4,184,58,9.6,3.02,3.56,1.22
28,Gerrit Cole,NYY,31,31,183,756,11,10,17,0,0,,163,84,78,27,,6,191,51,9.4,2.49,3.82,1.17
29,Hunter Greene,CIN,29,29,169,702,9,9,16,0,0,,135,79,73,23,,16,195,60,10.38,3.19,3.9,1.15
30,Joe Ryan,MIN,28,28,158,643,10,9,15,0,0,,137,71,66,22,,7,172,36,9.8,2.07,3.76,1.1
31,Spencer Strider,ATL,21,21,119,484,9,6,13,0,0,,92,46,43,13,,5,159,37,12.04,2.82,3.24,1.09
32,Justin Steele,CHC,29,29,166,686,10,7,17,0,0,,152,69,64,17,,6,159,45,8.6,2.47,3.46,1.19
33,Tanner Houck,BOS,29,39,177,752,11,9,15,0,1,,172,83,77,17,,13,159,54,8.08,2.73,3.9,1.27
34,Ranger Suárez,PHI,28,40,166,696,11,9,15,0,1,,156,73,67,17,,5,149,52,8.08,2.82,3.62,1.26
35,Shota Imanaga,CHC,29,29,172,707,11,8,17,0,0,,158,74,68,24,,6,174,38,9.09,1.99,3.57,1.14
36,Hunter Brown,HOU,29,29,166,701,12,9,16,0,0,,150,74,68,18,,6,172,59,9.29,3.17,3.71,1.26
37,Luis Castillo,SEA,31,31,181,749,12,10,18,0,0,,160,78,72,22,,7,184,52,9.16,2.56,3.56,1.17
38,Freddy Peralta,MIL,31,31,171,712,11,10,17,0,0,,140,77,71,23,,8,195,63,10.26,3.3,3.76,1.19
39,Yusei Kikuchi,LAA,31,31,169,711,10,10,16,0,0,,157,79,74,25,,5,189,54,10.07,2.87,3.92,1.25
40,Spencer Schwellenbach,ATL,29,29,165,683,12,8,16,0,0,,156,74,68,20,,8,159,38,8.68,2.08,3.71,1.17
41,Seth Lugo,KCR,31,31,188,794,11,11,17,0,0,,187,90,83,23,,7,161,52,7.7,2.5,3.97,1.27
42,Zach Eflin,BAL,29,29,174,719,11,9,16,0,0,,176,80,74,23,,5,145,30,7.49,1.54,3.83,1.18
43,MacKenzie Gore,WSN,31,31,167,711,10,10,17,0,0,,151,77,72,20,,7,178,63,9.61,3.39,3.86,1.28
44,Nathan Eovaldi,TEX,29,29,172,714,10,10,15,0,0,,161,82,76,23,,6,163,46,8.54,2.39,3.97,1.2
