#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP,K%,BB%
1,Paul Skenes,PIT,31,31,187,754,16,6,22,0,0,,142,56,52,14,,8,240,54,11.59,2.59,2.49,1.05,31.83023873,7.161803714
2,Tarik Skubal,DET,32,32,201,807,16,8,22,0,0,,159,67,61,19,,8,233,46,10.4,2.06,2.73,1.02,28.87236679,5.700123916
3,Garrett Crochet,BOS,31,31,169,679,14,8,20,0,0,,134,61,56,17,,7,216,50,11.53,2.66,3,1.09,31.81148748,7.36377025
4,Zack Wheeler,PHI,32,32,204,830,14,9,20,0,0,,170,80,73,24,,8,221,53,9.76,2.36,3.24,1.1,26.62650602,6.385542169
5,Logan Webb,SFG,32,32,207,862,14,10,19,0,0,,206,88,81,16,,8,179,46,7.81,1.99,3.51,1.22,20.76566125,5.336426914
6,Chris Sale,ATL,31,31,186,750,13,9,19,0,0,,157,74,68,20,,8,215,51,10.41,2.48,3.3,1.12,28.66666667,6.8
7,Logan Gilbert,SEA,32,32,204,828,15,9,21,0,0,,168,77,70,25,,8,214,45,9.48,2,3.11,1.05,25.84541063,5.434782609
8,Framber Valdez,HOU,29,29,186,770,13,8,18,0,0,,161,73,67,15,,8,184,59,8.9,2.86,3.24,1.18,23.8961039,7.662337662
9,Jacob deGrom,TEX,26,26,152,600,12,7,17,0,0,,114,55,50,19,,6,187,38,11.09,2.26,2.98,1,31.16666667,6.333333333
10,Pablo Lopez,MIN,32,32,198,818,13,10,19,0,0,,178,87,80,25,,8,206,51,9.36,2.31,3.61,1.15,25.18337408,6.234718826
11,Dylan Cease,SDP,32,32,193,808,14,9,19,0,0,,156,79,73,22,,9,227,74,10.59,3.44,3.38,1.19,28.09405941,9.158415842
12,Tyler Glasnow,LAD,24,24,146,587,11,6,16,0,0,,114,53,49,15,,6,175,45,10.83,2.75,3.02,1.09,29.81260647,7.666098807
13,Cole Ragans,KCR,31,31,182,759,13,9,19,0,0,,152,76,69,19,,8,203,67,10.03,3.33,3.43,1.21,26.74571805,8.82740448
14,Gerrit Cole,NYY,31,31,188,785,13,9,19,0,0,,156,77,71,26,,8,211,55,10.11,2.63,3.4,1.12,26.87898089,7.006369427
15,George Kirby,SEA,31,31,179,730,13,9,19,0,0,,159,70,64,22,,7,173,28,8.72,1.41,3.25,1.05,23.69863014,3.835616438
16,Aaron Nola,PHI,31,31,187,775,12,9,18,0,0,,173,84,77,24,,8,187,45,9.03,2.16,3.71,1.16,24.12903226,5.806451613
17,Blake Snell,LAD,29,29,171,716,13,8,18,0,0,,129,68,62,19,,8,221,76,11.64,4.02,3.29,1.2,30.86592179,10.61452514
18,Sonny Gray,STL,31,31,184,759,13,9,18,0,0,,167,80,73,20,,8,188,53,9.2,2.59,3.6,1.19,24.76943347,6.9828722
19,Corbin Burnes,ARI,31,31,189,788,13,9,19,0,0,,170,79,73,19,,8,189,56,9.02,2.66,3.47,1.2,23.98477157,7.106598985
20,Max Fried,NYY,29,29,174,725,12,9,17,0,0,,153,72,66,17,,7,163,52,8.43,2.68,3.41,1.18,22.48275862,7.172413793
21,Yoshinobu Yamamoto,LAD,28,28,156,644,12,8,17,0,0,,135,64,59,17,,7,170,46,9.77,2.66,3.38,1.16,26.39751553,7.142857143
22,Cristopher Sanchez,PHI,29,29,171,711,11,9,16,0,0,,166,78,72,16,,7,146,47,7.7,2.48,3.78,1.25,20.53445851,6.610407876
23,Hunter Greene,CIN,29,29,173,734,12,9,17,0,0,,142,77,71,25,,8,208,65,10.82,3.4,3.67,1.2,28.33787466,8.855585831
24,Sandy Alcantara,MIA,28,28,175,735,11,9,16,0,0,,174,80,73,19,,7,152,40,7.8,2.05,3.77,1.22,20.68027211,5.442176871
25,Hunter Brown,HOU,29,29,169,707,12,9,17,0,0,,147,72,66,17,,7,179,59,9.55,3.13,3.49,1.22,25.31824611,8.345120226
26,Yusei Kikuchi,LAA,31,31,175,723,12,10,17,0,0,,149,79,73,23,,7,194,57,10.01,2.92,3.74,1.18,26.83264177,7.883817427
27,Justin Steele,CHC,29,29,171,707,12,9,16,0,0,,159,76,69,18,,7,163,46,8.58,2.45,3.66,1.2,23.05516266,6.506364922
28,Kevin Gausman,TOR,32,32,198,833,12,11,17,0,0,,185,95,87,26,,8,196,59,8.89,2.68,3.94,1.23,23.52941176,7.082833133
29,Spencer Strider,ATL,21,21,119,486,10,5,13,0,0,,93,44,40,13,,5,159,37,12.03,2.8,3.01,1.09,32.71604938,7.613168724
30,Grayson Rodriguez,BAL,28,28,159,668,11,8,17,0,0,,138,66,61,18,,7,174,52,9.84,2.93,3.43,1.19,26.04790419,7.784431138
31,Zac Gallen,ARI,29,29,172,730,12,9,16,0,0,,164,78,72,19,,7,174,51,9.13,2.67,3.75,1.25,23.83561644,6.98630137
32,Brandon Woodruff,MIL,24,24,147,607,11,7,15,0,0,,124,60,55,19,,6,166,39,10.19,2.39,3.37,1.11,27.3476112,6.425041186
33,Tanner Bibee,CLE,29,29,174,732,12,9,17,0,0,,153,75,69,23,,7,180,50,9.33,2.61,3.57,1.17,24.59016393,6.830601093
