#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Paul Skenes,PIT,31,31,188,760,13,9,21,0,0,,147,65,59,16,0,8,242,55,11.57,2.63,2.8,1.08
2,Jacob deGrom,TEX,26,26,152,602,11,7,17,0,0,,116,52,48,17,0,5,206,30,12.19,1.78,2.86,0.96
3,Tarik Skubal,DET,32,32,196.1,787,13,9,22,0,0,,160,70,64,20,0,8,229,45,10.49,2.06,2.92,1.05
4,Garrett Crochet,BOS,31,31,170,684,12,8,17,0,0,,133,63,57,17,0,7,221,52,11.68,2.73,3.04,1.09
5,Zack Wheeler,PHI,32,32,198.2,810,13,9,21,0,0,,171,80,73,23,1,9,212,51,9.63,2.31,3.32,1.12
6,Chris Sale,ATL,31,31,186.2,755,14,8,20,0,0,,153,69,64,19,1,9,230,47,11.1,2.27,3.07,1.07
7,Tyler Glasnow,LAD,24,24,143.2,580,11,6,15,0,0,,117,56,51,16,0,4,178,41,11.17,2.55,3.22,1.1
8,Sonny Gray,STL,31,31,184.2,764,12,10,19,0,0,,164,76,70,20,0,7,197,51,9.61,2.5,3.4,1.17
9,Cole Ragans,KCR,31,31,182.2,764,12,10,18,0,0,,156,77,71,19,1,6,207,69,10.22,3.39,3.49,1.23
10,Dylan Cease,SDP,32,32,189,787,13,10,18,0,0,,155,79,73,22,1,6,224,70,10.68,3.36,3.49,1.19
11,Corbin Burnes,ARI,31,31,190,793,12,10,18,0,0,,178,85,78,20,0,7,193,54,9.13,2.54,3.69,1.22
12,Pablo López,MIN,32,32,193,798,12,10,19,0,0,,177,84,77,24,1,9,203,48,9.44,2.23,3.61,1.16
13,Logan Webb,SFG,32,32,201,839,12,11,21,0,0,,200,85,77,17,1,6,175,45,7.81,2.02,3.42,1.22
14,Logan Gilbert,SEA,32,32,198.2,808,12,11,20,0,0,,176,82,76,25,1,6,208,43,9.42,1.95,3.43,1.1
15,Framber Valdez,HOU,29,29,184.2,767,12,9,19,0,0,,173,78,70,16,0,9,177,59,8.63,2.88,3.43,1.26
16,Blake Snell,LAD,29,29,170,712,12,8,16,0,0,,134,72,66,21,0,5,221,73,11.7,3.88,3.51,1.22
17,Roki Sasaki,LAD,24,24,138.2,567,10,6,14,0,0,,110,55,51,16,0,7,179,44,11.63,2.83,3.3,1.11
18,George Kirby,SEA,31,31,180.1,735,11,10,17,0,0,,169,76,70,23,0,7,171,27,8.54,1.37,3.51,1.09
19,Max Fried,NYY,29,29,173,723,12,9,17,0,0,,164,73,66,18,1,6,165,48,8.56,2.5,3.42,1.23
20,Aaron Nola,PHI,31,31,187.2,781,12,10,18,0,0,,178,87,80,26,1,6,185,45,8.89,2.15,3.84,1.19
21,Cristopher Sánchez,PHI,29,29,169.2,707,11,9,16,0,0,,164,73,66,17,0,6,149,48,7.89,2.53,3.48,1.25
22,Shane McClanahan,TBR,26,34,159,650,10,8,15,0,1,,136,64,59,18,1,5,178,47,10.07,2.65,3.31,1.15
23,Sandy Alcantara,MIA,28,28,178.1,747,10,11,17,0,0,,176,82,75,20,1,7,161,45,8.11,2.27,3.8,1.24
24,Joe Ryan,MIN,28,28,159.2,655,10,9,15,0,0,,140,71,67,24,0,7,177,37,9.99,2.08,3.75,1.11
25,Yoshinobu Yamamoto,LAD,28,28,158.2,655,11,8,15,0,0,,144,69,63,19,0,5,167,43,9.47,2.46,3.57,1.18
26,Freddy Peralta,MIL,31,31,178,744,11,10,16,0,0,,150,80,74,24,0,8,206,63,10.4,3.19,3.75,1.2
27,Michael King,SDP,31,31,179.2,753,12,10,17,0,0,,157,79,73,22,1,8,191,64,9.59,3.22,3.65,1.23
28,Hunter Brown,HOU,29,29,167.2,703,11,9,15,0,0,,153,75,69,18,0,6,175,58,9.4,3.1,3.7,1.26
29,Gerrit Cole,NYY,31,31,189,792,12,10,17,0,0,,174,90,84,29,0,7,197,53,9.39,2.53,3.98,1.2
30,Shota Imanaga,CHC,29,29,179.2,740,11,9,18,0,0,,167,78,73,26,0,6,182,38,9.12,1.91,3.64,1.14
31,Yusei Kikuchi,LAA,31,31,176,729,11,10,16,0,0,,157,80,74,25,0,6,196,55,10.02,2.8,3.77,1.2
32,Spencer Strider,ATL,21,21,119.1,485,9,5,12,0,0,,92,46,42,13,0,5,158,39,11.92,2.92,3.19,1.1
33,Nathan Eovaldi,TEX,29,29,176,734,11,10,17,0,0,,167,80,74,22,1,7,171,47,8.73,2.39,3.76,1.22
