#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Paul Skenes,PIT,29,29,176,707,13,8,13,0,0,,135,59,55,13,0,7,216,51,11.04,2.6,2.82,1.05
2,Tarik Skubal,DET,30,30,183.2,731,13,8,14,0,0,,143,64,59,18,0,7,215,41,10.55,2.03,2.91,1
3,Logan Webb,SFG,31,31,196.2,808,13,9,16,0,0,,190,82,76,14,1,7,161,40,7.35,1.84,3.5,1.17
4,Zack Wheeler,PHI,30,30,191.2,782,14,9,16,0,0,,160,78,73,21,0,8,201,52,9.46,2.44,3.42,1.11
5,Garrett Crochet,BOS,29,31,157,642,12,9,9,0,0,,123,61,57,17,1,6,212,50,12.14,2.88,3.25,1.11
6,Logan Gilbert,SEA,31,31,194.2,785,13,10,16,0,0,,167,82,76,25,1,6,204,40,9.42,1.86,3.53,1.06
7,George Kirby,SEA,30,30,180.2,724,12,9,14,0,0,,160,74,69,21,0,6,164,27,8.17,1.34,3.44,1.03
8,Chris Sale,ATL,26,26,155.2,639,12,7,12,0,0,,130,62,57,16,0,9,194,43,11.21,2.51,3.32,1.11
9,Cole Ragans,KCR,30,30,177.2,739,13,10,14,0,0,,144,74,69,18,0,6,208,68,10.55,3.42,3.5,1.19
10,Justin Steele,CHC,29,29,168.1,689,12,9,12,0,0,,150,69,63,16,0,6,157,42,8.4,2.22,3.39,1.14
11,Dylan Cease,SDP,31,31,183.1,761,12,10,14,0,0,,145,79,74,22,1,7,219,70,10.78,3.43,3.62,1.17
12,Pablo López,MIN,31,31,186.2,774,12,10,15,0,0,,172,85,79,23,0,8,195,47,9.38,2.26,3.82,1.17
13,Yoshinobu Yamamoto,LAD,26,26,152,626,11,7,11,0,0,,136,64,60,15,0,5,157,39,9.29,2.33,3.54,1.16
14,Sonny Gray,STL,28,28,167.2,696,11,9,13,0,0,,147,75,70,19,0,7,180,51,9.66,2.74,3.75,1.18
15,Joe Ryan,MIN,28,28,163.2,665,10,9,12,0,0,,138,73,68,25,0,6,181,36,9.94,1.98,3.73,1.06
16,Spencer Schwellenbach,ATL,28,28,164,676,12,8,12,0,0,,151,72,67,18,0,6,159,39,8.74,2.13,3.68,1.15
17,Michael King,SDP,29,30,170,709,12,10,12,0,0,,146,75,69,19,1,8,185,56,9.78,2.98,3.67,1.19
18,Tanner Bibee,CLE,29,29,170.2,706,11,10,13,0,0,,148,77,72,22,0,7,175,49,9.2,2.58,3.79,1.15
