#,Name,Team,GS,G,IP,TBF,W,L,QS,SV,HLD,BS,H,R,ER,HR,IBB,HBP,SO,BB,K/9,BB/9,ERA,WHIP
1,Tarik Skubal,DET,28,28,170.2,675,13,7,,0,0,,136,56,52,14,0,5,196,34,10.33,1.79,2.74,1
2,Logan Webb,SFG,32,32,195.2,803,13,9,,0,0,,183,76,70,14,1,5,164,42,7.54,1.93,3.22,1.15
3,Zack Wheeler,PHI,28,28,175.2,711,13,7,,0,0,,145,69,64,17,0,7,184,47,9.43,2.41,3.28,1.09
4,Garrett Crochet,BOS,29,29,135,559,12,6,,0,0,,113,48,44,11,2,3,169,43,11.27,2.87,2.93,1.16
5,Corbin Burnes,ARI,30,30,181.2,735,14,7,,0,0,,151,65,60,16,0,7,179,51,8.87,2.53,2.97,1.11
6,Paul Skenes,PIT,30,30,155.1,626,8,6,,0,0,,127,61,56,17,0,4,181,43,10.49,2.49,3.25,1.09
7,Chris Sale,ATL,24,24,138.2,571,11,5,,0,0,,118,50,46,13,0,8,170,36,11.03,2.34,2.98,1.11
8,Aaron Nola,PHI,30,30,183.1,750,11,9,,0,0,,169,84,78,23,0,5,180,40,8.84,1.96,3.83,1.14
9,George Kirby,SEA,30,30,173.1,705,13,9,,0,0,,163,69,64,19,0,6,162,25,8.41,1.3,3.32,1.08
10,Dylan Cease,SDP,32,32,175.2,727,13,9,,0,0,,141,72,67,19,1,5,207,66,10.6,3.38,3.43,1.18
11,Yoshinobu Yamamoto,LAD,24,24,145.2,565,11,6,,0,0,,112,58,54,16,0,3,150,31,9.27,1.91,3.34,0.98
12,Logan Gilbert,SEA,32,32,189,758,12,8,,0,0,,162,75,69,23,1,4,190,43,9.05,2.05,3.29,1.08
13,Max Fried,NYY,27,27,162.2,667,12,8,,0,0,,141,67,62,15,1,5,147,48,8.13,2.66,3.43,1.16
14,Michael King,SDP,29,30,168,704,13,8,,0,0,,143,66,61,17,2,7,185,59,9.91,3.16,3.27,1.2
15,Pablo López,MIN,30,30,174,720,12,9,,0,0,,159,79,73,22,1,8,182,43,9.41,2.22,3.78,1.16
16,Spencer Strider,ATL,22,24,125.2,512,10,6,,0,0,,98,50,46,14,1,6,170,38,12.17,2.72,3.29,1.08
17,Sandy Alcantara,MIA,24,24,157.1,643,9,7,,0,0,,145,66,61,15,1,6,134,36,7.67,2.06,3.49,1.15
18,Cole Ragans,KCR,27,30,156.1,656,10,7,,0,0,,134,66,61,16,1,5,174,58,10.02,3.34,3.51,1.23
19,Blake Snell,LAD,26,26,133,552,9,5,,0,0,,100,54,50,14,0,2,176,60,11.91,4.06,3.38,1.2
20,Hunter Greene,CIN,27,27,154.1,624,8,7,,0,0,,112,67,62,17,0,18,172,53,10.03,3.09,3.62,1.07
21,Framber Valdez,HOU,28,28,171,709,13,8,,0,0,,147,67,62,16,0,9,158,56,8.32,2.95,3.26,1.19
22,Tyler Glasnow,LAD,22,22,123.2,492,9,5,,0,0,,97,51,47,16,0,0,152,35,11.06,2.55,3.42,1.07
23,Sonny Gray,STL,26,26,149.2,611,11,7,,0,0,,129,62,57,17,0,5,156,41,9.38,2.46,3.43,1.14
24,Kevin Gausman,TOR,28,28,162.2,681,12,9,,0,0,,155,71,66,20,0,2,158,45,8.74,2.49,3.65,1.23
25,Justin Steele,CHC,26,27,145.1,600,8,5,,0,0,,131,58,54,14,0,5,136,39,8.42,2.42,3.34,1.17
26,Tanner Houck,BOS,27,29,155.2,656,10,7,,0,1,,144,71,66,14,1,13,141,47,8.15,2.72,3.82,1.23
27,Ranger Suárez,PHI,26,28,145.2,612,10,8,,0,1,,136,64,59,14,1,4,130,45,8.03,2.78,3.64,1.24
28,Luis Castillo,SEA,29,29,168,688,12,9,,0,0,,145,70,65,20,1,6,171,48,9.16,2.57,3.48,1.15
29,Cristopher Sánchez,PHI,27,28,160.1,672,9,8,,0,0,,156,75,69,18,0,5,135,42,7.58,2.36,3.87,1.24
30,Nestor Cortes,MIL,26,28,152.2,620,10,6,,0,1,,134,65,60,20,0,3,152,38,8.96,2.24,3.54,1.13
31,Brandon Pfaadt,ARI,28,28,159.1,663,10,8,,0,1,,150,74,68,20,0,7,159,36,8.98,2.03,3.84,1.17
32,Tanner Bibee,CLE,29,29,160.1,661,10,8,,0,0,,141,67,62,20,0,6,163,45,9.15,2.53,3.48,1.16
33,Shota Imanaga,CHC,27,27,152,624,9,7,,0,0,,138,64,59,20,1,5,153,35,9.06,2.07,3.49,1.14
34,Gerrit Cole,NYY,25,25,143.1,584,9,7,,0,0,,123,63,58,20,0,4,150,39,9.42,2.45,3.64,1.13
35,Spencer Schwellenbach,ATL,27,27,146.2,602,11,7,,0,0,,136,64,59,18,1,7,141,31,8.65,1.9,3.62,1.14
36,Brayan Bello,BOS,28,29,153.2,665,11,11,,0,0,,150,76,70,15,0,6,142,56,8.31,3.28,4.1,1.34
37,Joe Ryan,MIN,24,24,136,550,9,7,,0,0,,117,62,57,18,0,7,145,31,9.6,2.05,3.77,1.09
38,Kyle Bradish,BAL,24,24,129.2,534,8,6,,0,0,,110,52,48,12,0,7,129,41,8.95,2.85,3.33,1.16
39,Zac Gallen,ARI,28,28,161.2,666,12,8,,0,0,,140,67,62,18,0,6,156,51,8.68,2.84,3.45,1.18
40,Reid Detmers,LAA,27,27,151,642,9,11,,0,1,,136,78,72,20,1,8,166,53,9.89,3.16,4.29,1.25
41,Freddy Peralta,MIL,30,30,160.1,663,10,9,,0,0,,127,72,67,21,0,8,180,61,10.11,3.42,3.76,1.17
42,Hunter Brown,HOU,26,29,150,636,11,8,,0,0,,135,67,62,17,0,5,153,54,9.18,3.24,3.72,1.26
43,Carlos Rodón,NYY,28,28,151.1,629,11,10,,0,0,,130,74,68,22,0,7,166,49,9.87,2.91,4.04,1.18
44,Nick Martinez,CIN,13,43,120,498,8,6,,0,1,,116,51,47,11,0,4,103,29,7.73,2.18,3.53,1.21
45,Mitch Keller,PIT,29,29,168,718,10,10,,0,0,,163,81,75,20,0,12,152,49,8.14,2.63,4.02,1.26
46,Reynaldo López,ATL,20,33,121,496,8,4,,0,0,,102,46,43,12,1,2,130,40,9.67,2.98,3.2,1.17
47,Zach Eflin,BAL,25,26,148.2,611,10,8,,0,0,,149,67,62,19,1,4,122,25,7.38,1.51,3.75,1.17
48,MacKenzie Gore,WSN,28,28,144.2,627,9,9,,0,0,,136,69,64,17,0,6,153,55,9.52,3.42,3.98,1.32
49,Bailey Ober,MIN,28,28,156.1,634,9,9,,0,0,,139,74,68,24,0,5,160,37,9.21,2.13,3.92,1.13
50,Seth Lugo,KCR,26,30,160.2,673,10,9,,0,0,,156,74,68,19,1,6,135,44,7.56,2.46,3.81,1.24
51,Shane McClanahan,TBR,19,19,110.2,444,8,5,,0,1,,93,43,40,13,1,1,118,28,9.59,2.28,3.25,1.09
52,Bryce Miller,SEA,29,29,158.2,645,10,8,,0,0,,139,69,64,20,0,6,147,41,8.34,2.33,3.63,1.13
53,Yusei Kikuchi,LAA,27,28,143,613,8,8,,0,0,,139,70,65,22,0,4,161,47,10.13,2.96,4.09,1.3
54,Jack Flaherty,DET,25,25,135.1,569,10,7,,0,0,,119,63,58,19,1,7,152,44,10.11,2.93,3.86,1.2
55,Clay Holmes,NYM,16,23,110.2,485,10,7,,0,1,,114,49,45,8,2,5,96,34,7.8,2.76,3.66,1.34
56,Jared Jones,PIT,25,25,129.2,539,7,8,,0,1,,116,61,56,16,1,6,131,39,9.09,2.71,3.89,1.2
57,Kodai Senga,NYM,24,24,138.1,578,9,7,,0,1,,111,58,54,15,0,4,149,62,9.7,4.03,3.51,1.25
58,Grayson Rodriguez,BAL,22,22,121.2,508,8,7,,0,0,,109,55,51,15,0,5,130,36,9.61,2.66,3.77,1.19
59,Brady Singer,CIN,28,28,156.1,676,8,11,,0,0,,158,91,84,24,0,10,152,48,8.75,2.76,4.84,1.32
60,Nathan Eovaldi,TEX,25,25,143.2,595,8,9,,0,0,,133,72,67,20,0,5,133,38,8.33,2.38,4.2,1.19
61,Bryan Woo,SEA,26,26,124.2,500,7,5,,0,0,,109,53,49,15,0,7,115,25,8.3,1.8,3.54,1.07
62,Shane Bieber,CLE,20,20,119,497,7,5,,0,1,,113,52,48,14,0,3,110,32,8.32,2.42,3.63,1.22
63,Walker Buehler,BOS,24,24,121.2,514,7,5,,0,1,,120,57,53,14,0,4,107,34,7.91,2.51,3.92,1.27
64,Clarke Schmidt,NYY,20,23,106,449,6,6,,0,1,,94,50,46,12,0,7,108,35,9.17,2.97,3.91,1.22
65,Zebby Matthews,MIN,24,25,122.1,519,7,6,,0,1,,124,59,55,18,0,4,115,25,8.46,1.84,4.05,1.22
66,Patrick Sandoval,BOS,20,20,104.1,455,7,6,,0,1,,100,49,45,9,1,4,99,43,8.54,3.71,3.88,1.37
67,Reese Olson,DET,24,25,116.1,491,6,7,,0,0,,104,55,51,12,0,4,108,41,8.36,3.17,3.95,1.25
68,Will Warren,NYY,24,25,122.1,525,6,7,,0,1,,114,65,60,15,0,7,116,42,8.54,3.09,4.42,1.28
69,Gavin Stone,LAD,22,24,124,523,8,6,,0,0,,118,62,57,16,0,2,113,39,8.2,2.83,4.14,1.27
70,Drew Rasmussen,TBR,13,24,76.2,308,6,3,,0,1,,65,27,25,6,0,2,75,18,8.8,2.11,2.93,1.08
71,Michael McGreevy,STL,27,28,153.1,647,9,8,,0,1,,155,74,68,18,0,2,108,41,6.34,2.41,3.99,1.28
72,Alex Cobb,DET,21,21,106,461,5,6,,0,0,,109,51,47,9,0,3,86,35,7.3,2.97,3.99,1.36
73,Bryce Elder,ATL,26,26,145,622,10,9,,0,1,,142,72,67,16,0,6,123,50,7.63,3.1,4.16,1.32
74,Max Scherzer,TOR,20,20,107.1,435,7,5,,0,1,,93,46,43,15,0,5,110,26,9.23,2.18,3.61,1.11
75,Luis Gil,NYY,27,27,132.2,566,9,9,,0,1,,107,66,61,17,0,6,150,66,10.17,4.48,4.14,1.3
76,José Berríos,TOR,29,29,173,729,12,11,,0,0,,166,84,78,25,1,11,148,47,7.7,2.45,4.06,1.23
77,Chris Bassitt,TOR,27,27,153.2,660,10,10,,0,0,,146,75,69,19,1,12,139,53,8.14,3.1,4.04,1.29
78,Joe Musgrove,SDP,22,22,121.1,506,7,6,,0,0,,111,53,49,16,1,11,115,28,8.53,2.08,3.64,1.15
79,David Peterson,NYM,24,27,127.2,557,7,7,,0,1,,121,63,58,13,0,7,120,52,8.46,3.66,4.09,1.35
80,Taj Bradley,TBR,27,27,137,575,9,9,,0,0,,124,67,62,19,0,4,138,44,9.07,2.89,4.07,1.23
81,Michael Wacha,KCR,26,27,143.2,604,9,8,,0,0,,140,70,65,19,0,4,119,42,7.45,2.63,4.07,1.27
82,Jordan Montgomery,ARI,23,25,132.2,572,8,6,,0,1,,136,63,58,14,1,3,107,43,7.26,2.92,3.93,1.35
83,David Festa,MIN,24,25,108,464,6,6,,0,1,,99,53,49,13,0,4,114,41,9.5,3.42,4.08,1.3
84,Sean Manaea,NYM,25,28,144,606,8,7,,0,0,,131,75,69,21,0,7,145,47,9.06,2.94,4.31,1.24
